analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg
NH4,1.3614197390686626,1.1454344134334453,1.2179318127693934,0.07657395035103075,-0.006399278792678984,0.040233025138936084,2.646268214781276,2.3092407317036314,2.406938071449249
NO3,90.52208925007838,79.25629497682063,82.64671302201944,83.27185696342323,73.16538410192884,76.35060156362792,98.38650048619202,86.04906968080282,89.60336863501001
NO2,4.16380400682233,3.0824148205242783,3.359638274853298,1.1078544755642372,0.6562657273323427,0.7002797845656854,6.871653497817189,5.329904779368256,5.7494602910332135
OP,1.8918308754503577,1.7858901284862367,1.8256502638655732,1.1185125122098156,1.114072004767946,1.1435457094732067,2.716178343458108,2.5031344913434412,2.55400561648083
Se,0.0925863704208658,0.07591444526665098,0.0790474869738095,0.06921499316972839,0.05535945251858461,0.0579737101432104,0.11601512616957528,0.09657260951417158,0.1001261669010036
TDS,12862.86562907806,11520.196125664024,11844.754685916248,10841.973615612513,9804.5981480132,10031.382393150427,14921.183118531473,13211.614140652977,13656.19717080929
TKN,25.98315431942434,18.888633728453264,20.201349349044214,17.656103591759493,11.71774020352848,12.745945286056862,34.676101326185446,26.378554069767027,28.02823915948626
TN,79.24324837314396,71.44339561710723,73.63782637514274,5.598103055086677,5.401230844772713,6.964390160786414,153.55644776051852,141.9671864540069,145.20868180815722
TP,12.828745973391417,10.57598794693033,10.761958370074575,3.414053008997652,2.6060202967985875,2.643074722274319,22.71779702642694,19.120820290285142,19.40777145141878
TSS,18197.193688714673,13138.177432214447,14107.625532266346,10233.600791706416,6332.0834707930935,7230.712780793824,26641.155577869937,20260.24235784841,21454.99103325272
