Year,CT,MT,ST
2011,"406 (388, 424)","420 (404, 436)","421 (404, 437)"
2012,"582 (557, 607)","636 (613, 659)","576 (555, 596)"
2013,"529 (510, 548)","530 (511, 550)","530 (511, 550)"
2014,"869 (838, 896)","336 (323, 349)","840 (808, 872)"
2015,"737 (707, 766)","663 (644, 682)","638 (619, 658)"
2016,"187 (167, 208)","160 (141, 181)","159 (139, 179)"
2017,"1102 (1058, 1148)","737 (713, 762)","864 (832, 895)"
2018,"408 (242, 594)","394 (230, 578)","392 (228, 577)"
2019,"100 (97, 103)","100 (97, 103)","100 (97, 103)"
2020,"701 (674, 728)","563 (546, 582)","569 (550, 588)"
2021,"1033 (989, 1077)","769 (733, 804)","756 (727, 784)"
2022,"1526 (1477, 1570)","1435 (1401, 1469)","1466 (1430, 1501)"
2023,"1857 (1810, 1904)","1988 (1944, 2031)","1723 (1688, 1760)"
2024,"1600 (1549, 1654)","1600 (1549, 1654)","1600 (1549, 1654)"
2025,"1992 (1924, 2055)","1638 (1595, 1683)","1716 (1675, 1754)"
Total,"13627 (12986, 14282)","11971 (11443, 12522)","12349 (11813, 12906)"
Total,"13627 (12986, 14282)","11971 (11443, 12522)","12349 (11813, 12906)"
