Names in database,Operation,Speed [km/h],Speed_MIN [km/h],Speed_MAX [km/h],Surf_Disturbance [%],Depth [cm],Depth_MIN [cm],Depth_MAX [cm],TILLAGE_TYPE,TILLAGE_TYPE_Modifier [0-1],STIR,Diesel_use [l/ha],Burial_Coefficient [0-1],Source,Description,Match_Notes
Clean Furrows,"Chisel, winged with furrow diker",8.045,5.6315,10.4585,100,25.4,15.24,30.48,TILLAGE_TYPE_MIX_INV,0.8,,9.254,0.9,USDA_MOSES_2023-02-24,Chisel plow shanks on 30 inch spacing with winged straight points and a furrow diker.  071211 DTL,Auto keyword match
Pipe Ditch / Ditch,"Chisel, winged with furrow diker",8.045,5.6315,10.4585,100,25.4,15.24,30.48,TILLAGE_TYPE_MIX_INV,0.8,,9.254,0.9,USDA_MOSES_2023-02-24,Chisel plow shanks on 30 inch spacing with winged straight points and a furrow diker.  071211 DTL,Auto keyword match
Pack Furrows,"Roller, corrugated packer",6.436,4.827,12.872,100,3.81,2.54,5.08,TILLAGE_TYPE_COMPRESSION,0.15,,2.3135,0.05,USDA_MOSES_2023-02-24,Corregated packer roller   10-11-01 DTL,Auto keyword match
Corrugator,"Roller, corrugated packer",6.436,4.827,12.872,100,3.81,2.54,5.08,TILLAGE_TYPE_COMPRESSION,0.15,,2.3135,0.05,USDA_MOSES_2023-02-24,Corregated packer roller   10-11-01 DTL,Auto keyword match
Plant / Drill (any crop),"Planter, double disk opener on 12 inch high beds",8.045,5.6315,10.4585,15,6.35,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,4.07176,0.0525,USDA_MOSES_2023-02-24,"Double disk opener planter on existing 12 inch high beds or ridges leaving a 10 inch ridge after planting.  11/13/02 DTL, deleted kill process 11/16/2012 DTL",Auto keyword match
Fertilizer Application (surface/broadcast),"Planter, double disk opnr w/fluted coulter with starter fertilizer",8.045,5.6315,10.4585,20,6.35,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,6.0151,0.0525,USDA_MOSES_2023-02-24,"REVISED102403 DTL revised planter, double disk opnr w/fluted coulter to add starter fertilizer operation. rev 083011 LOS, deleted kill process 11/16/2012 DTL",Auto keyword match
Pre-Plant Fertilizer (surface),"Planter, double disk opnr w/fluted coulter with starter fertilizer",8.045,5.6315,10.4585,20,6.35,5.08,10.16,TILLAGE_TYPE_MIX_INV,0.8,,6.0151,0.0525,USDA_MOSES_2023-02-24,"REVISED102403 DTL revised planter, double disk opnr w/fluted coulter to add starter fertilizer operation. rev 083011 LOS, deleted kill process 11/16/2012 DTL",Auto keyword match
Sidedress Fertilizer (injected),Drip tape injection shank,8.045,4.827,9.654,20,10.16,7.62,15.24,TILLAGE_TYPE_LIFT,0.4,,7.4032,0.1,USDA_MOSES_2023-02-24,Drip tape injection shank.  112707 DTL,Auto keyword match
Pesticide Application,,,,,,,,,,,,,,,,No MOSES/NRCS STIR op found by keywords; please select manually.
Harvest / Harvest (grain/silage),"Harvest, dig root crops 12 in depth res. buried",4.827,4.827,10.4585,100,30.48,25.4,35.56,TILLAGE_TYPE_MIX_INV,0.8,,19.4334,0,USDA_MOSES_2023-02-24,"Harvest, root crops like potatoes or carrots.  12 inch depth Surface is rough with 4"" ridges and much of the residue is buried.  rev 100108DTL",Auto keyword match
Shred Stalks / Shred & Chop / Shred & Windrow,,,,,,,,,,,,,,,,No MOSES/NRCS STIR op found by keywords; please select manually.
Chop and Windrow,"Harvest, knife, windrow, combine",8.045,5.6315,10.4585,100,5.08,5.08,7.62,TILLAGE_TYPE_LIFT,0.4,,31.4636,0.25,USDA_MOSES_2023-02-24,"2/95 DDB MN & ND Knife or undercut field beans.   Bean stems and some roots placed  in a windrow for harvest.  This operation undercuts the plant and lifts, and windrows the plants. Also includes the harvest which occurs a few days later and spreads the residue back on the disturbed surface.  Rev 043008 DTL  Revised energy  use rev 071711 ggf",Auto keyword match
Bale / Bale Stalks / Chop + Bale Straw,,,,,,,,,,,,,,,,No MOSES/NRCS STIR op found by keywords; please select manually.
Knife Dry Beans,"Knife, windrow dry beans",8.045,5.6315,10.4585,100,5.08,5.08,7.62,TILLAGE_TYPE_LIFT,0.4,,17.30498,0.25,USDA_MOSES_2023-02-24,"2/95 DDB MN & ND Knife or undercut field beans.   Bean stems and some roots placed  in a windrow for harvest.  This operation undercuts the plant and lifts, and windrows the plants.   Rev 043008 DTL Revised notes to exclude harvest Rev 081811 LOS",Auto keyword match
Severe Hail Damage,,,,,,,,,,,,,,,,No MOSES/NRCS STIR op found by keywords; please select manually.
