"Operation","Speed","Speed_MIN","Speed_Max","Surf_Disturbance","Depth","Depth_MIN","Depth_MAX","TILLAGE_TYPE","TILLAGE_TYPE_Modifier","STIR_original","Diesel_use","Burial_Coefficient","Source","Description"
"Seeder, corrugated packer",6.436,4.827,12.872,100,2.54,2.54,5.08,"TILLAGE_TYPE_COMPRESSION",0.15,0.975,2.3135,0.05,"USDA_MOSES_2023-02-24","Brillion Seeder with corregated packer rollers   9/5/2  DTL  Added 40 lbs. start storage biomass default for new veg.  022212 DTL"
"Seeder, dormant, corrugated packer",6.436,4.827,12.872,100,2.54,2.54,5.08,"TILLAGE_TYPE_COMPRESSION",0.15,0.975,2.3135,0.05,"USDA_MOSES_2023-02-24","Brillion Seeder with corregated packer rollers  used to make dormant seeding.  Must also enter the date of germination in the spring and use operation "" Germination of dormant seeding and use ""Turfgrass April Seeding""  or similar spring seeded vegetation.   102406 DTL"
"Seeder, high density vegetable",6.436,4.827,12.872,75,2.54,2.54,2.54,"TILLAGE_TYPE_COMPRESSION",0.15,0.73125,4.07176,0.05,"USDA_MOSES_2023-02-24","Seeder, high density vegetable.  Seeds close spaced rows on top of a preformed bed leaving furrows or wheel tracks un-seeded on about a 40 to 48inch spacing 111705 DTL"
"Slip plow 48 to 60 in. deep",7.2405,4.827,8.045,30,60.96,60.96,60.96,"TILLAGE_TYPE_LIFT",0.4,21.06,23.135,0.25,"USDA_MOSES_2023-02-24","Slip plow 48 to 60 inch operating depth 121604 DTL"
"Sod cutter",1.609,0.8045,3.218,100,2.54,1.27,3.81,"TILLAGE_TYPE_COMPRESSION",0.15,0.24375,8.3286,0.001,"USDA_MOSES_2023-02-24","Sod cutter. Run shallow to undercut sod for harvest . rev 11/14/09 DTL"
"Sod installation",0,0,0,100,3.81,2.54,3.81,"TILLAGE_TYPE_COMPRESSION",0.15,0,9.254e-08,0.5,"USDA_MOSES_2023-02-24","Manually installing or laying sod.  Begin growth process calls in vegetation.  Use Turf vegetation representing sod with high canopy and roots on day 0 of growth curve.  101009 DTL  Added 40 lbs. live storage and root biomass default for new veg.  022212 DTL"
"Spader",4.827,3.218,6.436,100,20.32,12.7,25.4,"TILLAGE_TYPE_MIX_INV",0.8,31.2,13.881,0.76,"USDA_MOSES_2023-02-24","Reciprocating spader used as a full width primary tillage operation in growing weeds or cover, residue or previously tilled soil..  Speed is artifically set higher than actual ground speed  to account for the mixing action of the PTO driven spades.  Soil Disturbance is high similar to that of a roto tiller but the machine action is more like that of hand spading whereby the soil is lifted and fractured.  If used to till under weeds or growing cover, the management record needs to have initiated the cover or weed growth prior to use of this operation.  06-24-10 DTL
Adjusted speed and tillage type to be more agressive than rototiller since the operating depth of this implement is twice that of the rototiller. 03292022 GGF"
"Spader, shallow depth",4.827,3.218,6.436,100,12.7,7.62,17.78,"TILLAGE_TYPE_MIXING",0.7,17.0625,13.881,0.76,"USDA_MOSES_2023-02-24","Reciprocating spader used as a full width primary tillage operation in growing weeds or cover, residue or previously tilled soil..  Speed is artifically set higher than actual ground speed  to account for the mixing action of the PTO driven spades.  Soil Disturbance is high similar to that of a roto tiller but the machine action is more like that of hand spading whereby the soil is lifted and fractured.  If used to till under weeds or growing cover, the management record needs to have initiated the cover or weed growth prior to use of this operation.  06-24-10 DTL
Adjusted speed and tillage type to be slightly less aggressive than rototiller at similar depth 03292022 GGF"
"Stalk chopper, rolling",14.481,11.263,24.135,100,3.81,2.54,10.16,"TILLAGE_TYPE_MIXING",0.7,15.35625,6.75542,0.73,"USDA_MOSES_2023-02-24","Rolling Stalk Chopper, ground driven with double rotor gangs covering the full width of the machine.  This record represents operation on unridged ground where the weight of the machine is distriibuted across 100% of the working width. 110906 DTL
Adjusted speed and tillage type to be less agressive than rototiller and spader.  Changed residue burial ratio and resurfacing according to 2022 protocol. 03292022 GGF"
"Stalk chopper, rolling, light disturbance",16.09,11.263,24.135,30,3.81,2.54,5.08,"TILLAGE_TYPE_MIXING",0.7,5.11875,6.75542,0.219,"USDA_MOSES_2023-02-24","Rolling Stalk Chopper, light weight frame pull type, ground driven with single rotor gang covering the full width of the machine on flat planted ground.  This operation represents about 30% surface disturbance.  Would represent light machine operating on heavy residue condition from high yielding s,mall grain or corn.   111510 DTL
Adjusted speed and tillage type to be less agressive than rototiller, spader and Stalk chopper, rolling.  Changed residue burial ratio and resurfacing according to 2022 protocol. 03312022 GGF"
