analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg,MT_pct_red_mean,MT_pct_red_low,MT_pct_red_high,ST_pct_red_mean,ST_pct_red_low,ST_pct_red_high
NH4,1.4664029580563454,1.153914494225642,1.2343493587842964,0.6320678616504103,0.3007877290631436,0.4270885619942836,2.4006367515998197,1.939491490909733,2.0450394408508794,21.898461550374073,0.7297232625552402,47.459020481905235,13.816589944304951,-4.659065391931389,34.29627238486021
NO3,87.531245040428,76.88865773017088,78.82882152598282,79.74937484636851,71.74435486899084,73.43910065439029,95.3651215100519,82.49347202799703,84.2196199337745,12.038760120274523,5.637284992895513,18.813224829152187,9.814732320226303,2.6031278964803137,17.286100911727086
NO2,-0.6311137816365926,-1.503834541575792,-1.0445363558292122,-4.878287985273721,-4.825890943514935,-4.729483918420238,4.768656165685627,2.726356035554798,3.9399372226738456,214.35351412692785,-0.1226284747155848,1388.6753530798628,120.88688530134422,-145.9666060210402,882.7206503468485
OP,1.7995636894856544,1.7347323879747907,1.7593225229757146,1.270704682842934,1.3743003974611707,1.3864192986888029,2.3138269004942793,2.110849364595642,2.1464625756457365,2.4081976626864163,-21.907207509917622,20.358367001559408,1.2079065655205934,-18.264922152531366,18.24116935076784
Se,0.0905275986453112,0.07393901140795985,0.07622305652021968,0.07433500775426359,0.06048164122142874,0.06324371671982634,0.10505305392358981,0.08660435869299424,0.08869624535616809,18.2629699416517,12.318891294271337,24.442735651254875,15.734322909882273,9.726923710231484,21.9393272087201
TDS,12429.297961494414,11093.065344519977,11288.389471643308,10823.77753018782,9948.07116688023,10072.154292817375,13978.4397758868,12294.478955744047,12584.36500235049,10.631082037281926,3.430402982576329,17.41901531142638,9.074895521003535,2.6075352284668813,15.992694918476442
TKN,22.740143864298343,15.57574417303551,16.57052501815856,17.742922943565247,11.819731880799973,13.010657976838049,27.844971012462334,19.709136417780517,20.524279023923356,31.27909413405276,17.58824891152139,43.68829755952154,26.86567038625905,14.054020525342965,38.41579037327288
TN,92.33802035927484,74.49815422489839,76.01102778359038,58.54546660851128,42.448621635571115,45.02087062776663,131.30371705604784,111.0493056999129,111.86410094984171,19.559313481803766,10.10785385120743,31.00027380212214,17.772116906858415,9.441668215109194,26.284378835696316
TP,12.24997638074388,10.131179407433413,10.062041088438022,8.13707642366305,7.032335361756111,7.186227913029309,16.69590487955204,13.529305186026283,12.960900548093356,15.877846486574974,-11.291117059849125,37.613452656846356,16.61203671951998,-9.610877841253062,35.44642856406477
TSS,17927.2355305799,12588.11496797073,13525.351405022555,13832.947128116299,9478.569263928046,10877.616244676534,22092.88102389371,15414.333380180484,16316.98566027096,29.439389445257145,15.949531352667162,42.447506785289384,24.171157842254715,11.253948193386599,35.29771501007885
