Year,CT,MT,ST
2011,"97 (61, 137)","102 (75, 126)","149 (76, 225)"
2012,"105 (65, 144)","153 (111, 200)","101 (63, 141)"
2013,"84 (48, 123)","101 (91, 113)","109 (65, 159)"
2014,"632 (493, 771)","7 (3, 14)","271 (181, 362)"
2015,"366 (307, 419)","164 (117, 218)","137 (101, 175)"
2016,"306 (249, 373)","41 (27, 59)","156 (98, 215)"
2017,"1178 (932, 1467)","347 (230, 465)","270 (182, 367)"
2020,"42 (42, 42)",NA,"254 (138, 386)"
2021,"141 (111, 172)","113 (63, 176)","182 (92, 289)"
2023,"1634 (1400, 1888)","2110 (1910, 2312)","1542 (1375, 1707)"
2024,"761 (644, 885)","853 (618, 1093)","1202 (998, 1401)"
2025,"2009 (1892, 2138)","1834 (1660, 2001)","2371 (2191, 2559)"
