analyte,CT,MT,ST
NH4,"1.34 (-0.18, 2.91)","1.10 (-0.26, 2.50)","1.18 (-0.24, 2.61)"
NO3,"88.83 (81.73, 96.70)","78.16 (72.08, 84.96)","81.45 (75.21, 88.50)"
NO2,"-0.59 (-10.69, 10.17)","-1.69 (-10.02, 7.02)","-1.19 (-10.29, 8.37)"
OP,"1.86 (0.68, 3.07)","1.75 (0.74, 2.81)","1.80 (0.78, 2.86)"
Se,"0.09 (0.06, 0.12)","0.08 (0.05, 0.10)","0.08 (0.05, 0.10)"
TDS,"12559.91 (10214.22, 14858.45)","11278.30 (9276.25, 13217.31)","11597.96 (9480.47, 13673.17)"
TKN,"21.95 (11.56, 32.70)","14.59 (5.64, 23.81)","15.80 (6.44, 25.54)"
TN,"78.51 (1.89, 157.98)","71.75 (2.18, 146.66)","73.85 (3.71, 149.25)"
TP,"11.86 (2.23, 21.87)","9.95 (1.70, 18.55)","9.89 (1.49, 18.58)"
TSS,"18297.90 (10481.63, 26578.21)","13061.39 (6352.09, 20231.09)","14118.00 (7344.53, 21432.68)"
