analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg
NH4,1.4890560066390068,1.1915069450734268,1.2653135128510438,0.24371446690544393,0.16422441298546137,0.19622663793535797,3.0003728107301035,2.5088976494683353,2.602262382001915
NO3,87.67019294385406,76.782082136483,78.72986671167381,75.46222409947282,67.40414945864114,69.06608202168495,101.30930515590495,87.2035772343643,89.40434923471383
NO2,4.02065186678403,3.012807956296186,3.2841462600472986,1.341800701413179,1.0384253458640365,1.1046824021965398,12.769476948683211,9.86157093863504,10.786668562805058
OP,2.0730885778313604,1.988227977991449,1.9808238272991874,1.260923663032883,1.2821413282299856,1.279418131520172,3.1135220730592836,2.8778427726460705,2.881062634702258
Se,0.09072905765233276,0.07389019533900937,0.07610251664236899,0.06268450399493045,0.050399369325842984,0.052134505824717355,0.11840298443457735,0.09687341447378418,0.09958809419897187
TDS,12392.30577564845,11019.683214698642,11222.906507561174,10005.902280420794,9056.85917015783,9180.542822076604,15025.49560715749,13133.510109401179,13388.163099023455
TKN,25.261513089172894,17.72396483439064,18.539115011127826,15.701329379387904,10.129622969425858,10.741953696698648,35.84597548994672,26.560075705124053,27.57210278550317
TN,92.65230451927913,74.40763609481294,75.98804938590808,26.627675179775864,18.44519799499157,19.808875507726544,160.57501018292376,134.7874893266017,135.68166201115307
TP,14.05206888998602,11.91318067936277,11.961998760236819,7.611666471619473,6.9263284328099655,7.115665012881513,22.633028964841895,19.17259655516905,19.067321561338844
TSS,18403.32984705206,13564.386813451994,14307.743078826483,11336.616369568601,8749.359141530995,9281.83398566804,26819.70317539875,20003.69140548755,20913.90264727288
