analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg
NH4,1.3947893577204558,1.1652328688821183,1.2434269361999373,0.20307822793470837,0.1369372728912119,0.16732105240113096,2.8804981179674645,2.5058594629351,2.613933376662375
NO3,88.83261216308411,78.16004135377852,81.48997155855824,82.00934750355125,72.07215516974927,75.21486066252798,96.78001929479186,85.2286695502718,88.77615144766652
NO2,4.011726706126814,2.984747566393361,3.3137023003946333,1.250637861838526,1.0211585679848996,1.0897172722052915,12.742708581713003,9.704992589726729,10.89037828348249
OP,2.101467969013353,2.001332908601569,2.0144792819626867,1.2578384490274588,1.239758993362576,1.2615975009851395,3.1911481354764724,2.9482921361515184,2.971232688429131
Se,0.09102015480878359,0.07488341863709734,0.07802753188898787,0.06444143208826493,0.051438294671540305,0.05373946742447823,0.11583869083539407,0.09695330530664369,0.10045765682385528
TDS,12582.994470087438,11288.533318064805,11623.282271159109,10179.70869306231,9254.205597381319,9472.126646887822,15005.979464163525,13334.111811120716,13822.240494122412
TKN,24.623623973666646,17.045152856437984,18.020199291719493,15.730900717603474,10.078985435862032,10.576628622760389,34.477786011620246,25.463545888791113,26.894412536508682
TN,78.99122001019008,72.86359174335729,74.84954734205816,12.52177566215653,10.471142748913078,11.6329757790079,159.44386192790267,149.3058035211951,151.91910647014825
TP,14.005498752847773,11.899073132562267,11.983653206279927,7.564251232215328,6.813706264678359,6.947827586006161,22.414285468389547,19.010617697717297,19.186010009905974
TSS,18609.136773797167,13600.512223411697,14578.09679650441,11623.516734473264,8538.826336648948,9143.742777143836,26631.147197658065,20174.72877393315,21531.03546879867
