Year,CT_mod_volume_kL_mean,MT_mod_volume_kL_mean,ST_mod_volume_kL_mean,CT_mod_volume_kL_low,MT_mod_volume_kL_low,ST_mod_volume_kL_low,CT_mod_volume_kL_high,MT_mod_volume_kL_high,ST_mod_volume_kL_high
2011,403.38322330715806,417.70907749712535,418.554593188054,385.90561430178525,401.0383762370416,400.7306494231148,420.59306822111455,433.9830034096537,435.62397364973
2012,578.5564319551715,632.3769420571288,572.230438127218,553.880380694705,608.0808245564668,551.6077963491706,602.906006389629,656.0251049339721,592.4825720691618
2013,524.8832695552832,525.9354668595498,525.9354668595498,506.2232349637572,506.60866667890116,506.60866667890116,543.6879202912143,545.0915443487366,545.0915443487366
2014,863.413210345937,334.1717714147186,835.4294285367964,833.8400878456858,320.82998540485175,802.0749635121293,892.4775037330896,347.1942343825693,867.9855859564232
2015,733.0970809145006,663.4080371723795,639.6041781066161,704.4829498015763,644.5401000584484,619.9569255432868,761.9146923854283,682.6615267751188,660.006513237102
2016,190.29217259861682,164.70444897264213,163.16574925327058,165.18998669525917,139.4804759607952,137.80452421259054,214.39142254574713,188.52262857115258,186.94867717992153
2017,1093.8481523222617,737.3454672656391,865.0352452370284,1049.1211271419293,711.873758578316,832.5668744802207,1137.2160132268466,761.758915133804,896.5529737879606
2018,407.02693612494875,393.508293634529,391.7375815406212,247.20207210145009,234.3917913732322,232.7589589314282,563.7387788382077,548.748422336258,547.0070828925255
2019,99.78990874680466,99.78990874680466,99.78990874680466,96.21947187036866,96.21947187036866,96.21947187036866,103.27270057648472,103.27270057648472,103.27270057648472
2020,697.238690442203,565.404071244534,570.2759899352794,668.0618974203488,547.42537008556,551.8460174226209,725.4557092720385,583.4107781193228,589.2880648491748
2021,1027.5994494677739,776.7487229513728,761.1574167433221,983.9124342469547,739.7044373088261,731.5388657087067,1071.4679548161193,813.9539793932298,790.3900155825146
2022,1518.342175054047,1433.869434039779,1464.0605793563461,1470.633179010507,1398.2994977304008,1428.5250745819278,1564.362183124039,1467.5232156609557,1499.631015543829
2023,1701.836053974357,1842.7522519117838,1585.7394744964117,1660.0652709717624,1804.2223455086491,1553.0290142153935,1744.720140448712,1883.3472009936586,1618.957745444074
2024,1596.6385399488745,1596.6385399488745,1596.6385399488745,1539.5115499258986,1539.5115499258986,1539.5115499258986,1652.3632092237556,1652.3632092237556,1652.3632092237556
2025,1912.5754484773565,1586.7137087075607,1657.8547149629753,1849.1876422137711,1544.0164317959375,1615.9271581504788,1975.223604184078,1630.0650988523535,1700.6333941819119
Total,13348.520743235295,11771.076142424421,12147.209305039169,12713.436899205759,11236.243083073694,11600.706511006238,13973.790907276505,12297.921562711026,12686.235068523305
