Year,CT,MT,ST
2011,"446 (378, 518)","483 (430, 534)","486 (431, 538)"
2012,"634 (536, 735)","712 (634, 788)","661 (591, 726)"
2013,"552 (498, 607)","555 (500, 610)","555 (500, 610)"
2014,"745 (668, 820)","384 (342, 425)","759 (676, 839)"
2015,"516 (444, 592)","465 (426, 505)","443 (403, 483)"
2016,"108 (77, 136)","89 (58, 117)","88 (57, 115)"
2017,"1113 (966, 1264)","704 (633, 775)","784 (694, 872)"
2018,"408 (269, 543)","397 (272, 539)","394 (269, 536)"
2019,"100 (90, 109)","100 (90, 109)","100 (90, 109)"
2020,"807 (717, 894)","608 (551, 664)","616 (557, 676)"
2021,"1145 (973, 1326)","797 (708, 894)","795 (721, 873)"
2022,"1462 (1326, 1593)","1382 (1284, 1485)","1419 (1312, 1528)"
2023,"1709 (1584, 1845)","1788 (1673, 1910)","1546 (1447, 1648)"
2024,"1600 (1451, 1754)","1600 (1451, 1754)","1600 (1451, 1754)"
2025,"2033 (1832, 2223)","1574 (1455, 1689)","1663 (1533, 1794)"
Total,"13379 (11809, 14957)","11638 (10507, 12797)","11909 (10733, 13101)"
Total,"13379 (11809, 14957)","11638 (10507, 12797)","11909 (10733, 13101)"
