Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.017424359865686235,0.16918857418428315,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.09212792570877877,0.8476172792483478,,NH4
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,831,0.9230140601079884,0.14516798896186053,0.950661853188929,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9483431538593866,0.13506408160647074,,NO3
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,440,0.16634368184738038,0.5561389299336457,0.9840909090909091,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1683135547875923,0.6057231331017675,,NO2
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,811,0.14731563297491498,1.0092413210337647,0.9112207151664612,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09742382219203899,0.8042428829829986,,OP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0008444232094887486,0.1289168276479684,0.9395348837209302,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.04364760400140115,6.594082634010705,,Se
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,368,95.13036296330509,0.10266448550559913,0.9864130434782609,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,94.22773159913399,0.1064751139018085,,TDS
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,739,1.921509191610056,0.9128092586163252,0.9607577807848444,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4618068795120935,0.5762418706504024,,TKN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.1409336159178975,0.334399669758035,0.9825581395348837,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1156047453015923,0.19652556066294913,,TN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,815,2.198233512554097,1.904051686361847,0.9312883435582822,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6412505603141976,0.7444316778579685,,TP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,894,2069.8092008833087,1.580898157483351,0.8791946308724832,TSS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.4429574981415,0.5606383115599145,,TSS
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,372,12712.391133682866,0.4407504837108032,0.8897849462365591,Volume
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,10867.424337449444,0.40592798056464313,,Volume
