Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,PointCumulativeLoad_kg,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,NH4,CT,0.29480165569372463,0.28244463207395554,0.15133006614926395,0.5123342334086012,1500,,0.28244463207395554,posterior_median,True
Bayes,model_only,NH4,MT,0.2787429326486899,0.2664040326647109,0.12306479882620498,0.5124927551909397,1500,,0.2664040326647109,posterior_median,True
Bayes,model_only,NH4,ST,0.2891057958747032,0.276029533414754,0.12617852161476745,0.5223053204218271,1500,,0.276029533414754,posterior_median,True
Bayes,model_only,NO2,CT,0.978702286416573,0.9169739453071033,0.4296294073334203,1.999986120278314,1500,,0.9169739453071033,posterior_median,True
Bayes,model_only,NO2,MT,0.8029027574943075,0.7529340576003034,0.3752616251034698,1.5545302498408904,1500,,0.7529340576003034,posterior_median,True
Bayes,model_only,NO2,ST,0.8269627700704015,0.7742899366647871,0.392817076412435,1.601923845851502,1500,,0.7742899366647871,posterior_median,True
Bayes,model_only,NO3,CT,17.67325197980286,17.601785984512382,14.895190823480254,20.650896458049672,1500,,17.601785984512382,posterior_median,True
Bayes,model_only,NO3,MT,16.850259316779216,16.796613713065938,14.221630257361724,19.674525663514206,1500,,16.796613713065938,posterior_median,True
Bayes,model_only,NO3,ST,17.112496013799134,17.080722729911244,14.504321306209953,19.911125300448173,1500,,17.080722729911244,posterior_median,True
Bayes,model_only,OP,CT,0.39328491739849103,0.3881237510633333,0.2532829474104595,0.5488486127284384,1500,,0.3881237510633333,posterior_median,True
Bayes,model_only,OP,MT,0.4383878253472869,0.43416338962726186,0.30121238083786284,0.5926896190211322,1500,,0.43416338962726186,posterior_median,True
Bayes,model_only,OP,ST,0.44894596097678746,0.4450704153909891,0.2993840003117928,0.6110582830142575,1500,,0.4450704153909891,posterior_median,True
Bayes,model_only,Se,CT,0.016420613207900944,0.01638000887066688,0.013177786729100452,0.020228203604880264,1500,,0.01638000887066688,posterior_median,True
Bayes,model_only,Se,MT,0.014541444569488178,0.014502004319417984,0.011308993248773816,0.017832505640631244,1500,,0.014502004319417984,posterior_median,True
Bayes,model_only,Se,ST,0.015078713553729289,0.015088509146250866,0.011913268959588792,0.01813690662468794,1500,,0.015088509146250866,posterior_median,True
Bayes,model_only,TDS,CT,2132.787657738954,2124.047874267383,1524.815717946002,2808.5116216737274,1500,,2124.047874267383,posterior_median,True
Bayes,model_only,TDS,MT,2166.148327373305,2164.691592317652,1571.013965045646,2768.702502959571,1500,,2164.691592317652,posterior_median,True
Bayes,model_only,TDS,ST,2218.4230160982024,2215.121731198644,1612.7121763762132,2830.0020739496977,1500,,2215.121731198644,posterior_median,True
Bayes,model_only,TKN,CT,8.53816293019035,8.46288723606205,6.046584632001085,11.63125227282239,1500,,8.46288723606205,posterior_median,True
Bayes,model_only,TKN,MT,7.986603260891581,7.9028136409576515,5.66140941379687,10.880379402749156,1500,,7.9028136409576515,posterior_median,True
Bayes,model_only,TKN,ST,8.497242664010315,8.372394528082197,5.980421735790434,11.471178225916102,1500,,8.372394528082197,posterior_median,True
