Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,2017,TSS,MT,,posterior_median,True,"20.54 (0, 121.3)"
Bayes,model_only,2017,TSS,ST,,posterior_median,True,"21.27 (0, 118.8)"
Bayes,model_only,2018,TN,CT,,posterior_median,True,"0.8319 (0, 2.392)"
Bayes,model_only,2018,TN,MT,,posterior_median,True,"0.7059 (0, 2.197)"
Bayes,model_only,2018,TN,ST,,posterior_median,True,"0.6866 (0, 2.124)"
Bayes,model_only,2018,TP,CT,,posterior_median,True,"0.03673 (0, 0.4228)"
Bayes,model_only,2018,TP,MT,,posterior_median,True,"0.02595 (0, 0.3507)"
Bayes,model_only,2018,TP,ST,,posterior_median,True,"0.02741 (0, 0.3324)"
Bayes,model_only,2018,TSS,CT,,posterior_median,True,"112.8 (3.762, 496)"
Bayes,model_only,2018,TSS,MT,,posterior_median,True,"84.33 (0, 374.2)"
Bayes,model_only,2018,TSS,ST,,posterior_median,True,"84.02 (1.172, 388.2)"
Bayes,model_only,2019,TN,CT,,posterior_median,True,"0.1952 (0, 0.5794)"
Bayes,model_only,2019,TN,MT,,posterior_median,True,"0.1891 (0, 0.5869)"
Bayes,model_only,2019,TN,ST,,posterior_median,True,"0.1889 (0, 0.5879)"
Bayes,model_only,2019,TP,CT,,posterior_median,True,"0.001997 (0, 0.07971)"
Bayes,model_only,2019,TP,MT,,posterior_median,True,"0.001641 (0, 0.0733)"
Bayes,model_only,2019,TP,ST,,posterior_median,True,"0.001941 (0, 0.08429)"
Bayes,model_only,2019,TSS,CT,,posterior_median,True,"23.65 (0, 113.2)"
Bayes,model_only,2019,TSS,MT,,posterior_median,True,"22.32 (0, 105)"
Bayes,model_only,2019,TSS,ST,,posterior_median,True,"21.79 (0, 111.7)"
Bayes,model_only,2020,TN,CT,,posterior_median,True,"1.124 (0.1022, 2.387)"
Bayes,model_only,2020,TN,MT,,posterior_median,True,"0.6521 (0.04039, 1.567)"
