Method,Scenario,Analyte,ComparisonTreatment,PointPercentDifference
ML,full_record_model_only,NH4,MT,15.414780292801579
ML,full_record_model_only,NO2,MT,16.168548913428307
ML,full_record_model_only,NO3,MT,23.806453021278006
ML,full_record_model_only,OP,MT,-2.748512678873338
ML,full_record_model_only,Se,MT,13.527573061405045
ML,full_record_model_only,TDS,MT,-15.127965320576072
ML,full_record_model_only,TKN,MT,19.086016339610225
ML,full_record_model_only,TN,MT,37.492216908264936
ML,full_record_model_only,TP,MT,-6.382351949854351
ML,full_record_model_only,TSS,MT,36.059895495707124
ML,full_record_model_only,NH4,ST,21.936566706326243
ML,full_record_model_only,NO2,ST,24.968179973102558
ML,full_record_model_only,NO3,ST,22.297135273066502
ML,full_record_model_only,OP,ST,0.0014678253078922192
ML,full_record_model_only,Se,ST,23.16731169843437
ML,full_record_model_only,TDS,ST,-21.060013711361997
ML,full_record_model_only,TKN,ST,25.167854852352882
ML,full_record_model_only,TN,ST,37.54691259800604
ML,full_record_model_only,TP,ST,-3.865508256688689
ML,full_record_model_only,TSS,ST,31.863493674043276
