Analyte,CT,MT,ST
NH4,0.71* (15),0.84* (15),0.58* (15)
NO3,0.72* (15),0.87* (15),0.68* (15)
NO2,0.63* (15),0.82* (15),0.66* (15)
OP,0.61* (15),0.71* (15),0.64* (15)
Se,0.39 (15),0.70* (15),0.39 (15)
TDS,0.62* (15),0.80* (15),0.59* (15)
TKN,0.79* (15),0.72* (15),0.65* (15)
TN,0.69* (15),0.67* (15),0.54* (15)
TP,0.43 (15),0.80* (15),0.74* (15)
TSS,0.40 (15),0.75* (15),0.66* (15)
