Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.09212792570877877,0.8476172792483478,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1683135547875923,0.6057231331017675,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9483431538593866,0.13506408160647074,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09742382219203899,0.8042428829829986,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.04364760400140115,6.594082634010705,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,94.22773159913399,0.1064751139018085,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4618068795120935,0.5762418706504024,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1156047453015923,0.19652556066294913,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6412505603141976,0.7444316778579685,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.4429574981415,0.5606383115599145,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,CT,14,0.1480276809171289,1.275315404824495,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,MT,14,0.03976250670304812,0.44641146258434145,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,ST,14,0.04437806698351689,0.36697751787905286,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,CT,42,0.10879136297326342,0.38416321211342386,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,MT,43,0.10508802342584754,0.3759232151167958,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,ST,44,0.24691439762654657,0.9105886761854035,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,CT,121,0.6703933801965655,0.09668810666971538,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,MT,116,1.2060979708043071,0.1683515348944635,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,ST,119,0.9030647937787919,0.12953407920406965,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,CT,111,0.07572217555269861,0.6664416021526758,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,MT,112,0.1235548948263348,0.8767477568694837,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,ST,112,0.08626119581166551,0.792848379705924,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,CT,33,0.048015363029141285,6.5424128988053285,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,MT,34,0.048359241312774054,7.753898630673511,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,ST,34,0.03290933064743133,5.221265711678327,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,CT,32,149.35903659794465,0.16970508534572154,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,MT,32,46.23537764399174,0.05199002335398607,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,48.922734792400625,0.055249657717026134,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,105,1.4220682383568723,0.47948353077500605,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,1.0457659053887254,0.5010810159419097,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.8039635452989604,0.7089369134894775,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.0178075960242017,0.17610101219969032,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.2228193139823575,0.2194573019865565,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,1.1021685460941346,0.19431190290661346,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,121,0.5143667254678591,0.5481963286587243,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.9023435277963955,0.9775540960621794,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.3950085853398646,0.5469549492091105,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,132,664.8498963108769,0.4881275878167128,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,563.8305049968197,0.7013574866796625,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,375.8663383257038,0.48865111909401215,
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,10867.424337449444,0.40592798056464313,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,12256.621389778318,0.42145401719703585,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,11419.945529811808,0.41718643133379407,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,8851.727955606899,0.36652612846243443,
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.1901088803198662,1.749084988704136,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.34258789860127803,1.2328978231455794,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,3.7783491403076677,0.5381166664697827,0.9466292134831461
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.413988599166906,3.417515111035054,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.10710560107644818,16.181029869149622,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,567.165665379289,0.6408838226029184,0.6494845360824743
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,313,5.114441603446628,2.0161044787845017,0.7891373801916933
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,2.5948372307552585,0.4571079889637895,0.8846153846153846
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,361,1.2859315051600293,1.4928457099946313,0.9418282548476454
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,400,1117.277712090496,1.1442081434613514,0.565
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,CT,14,0.24547027078400824,2.1148207944468402,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,MT,14,0.1835705738096558,2.0609366746873947,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,ST,14,0.12029276670622799,0.9947423118057839,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,CT,42,0.3486302572782714,1.2310804443994785,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,MT,43,0.35850074601774334,1.2824368436223919,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,ST,44,0.32012022925711947,1.1805624077875498,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,CT,121,3.634727545378492,0.5242219493871858,0.8842975206611571
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,MT,116,4.020865847372078,0.5612470573666598,0.9741379310344828
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,ST,119,3.676239558625814,0.5273135542883495,0.9831932773109243
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,CT,111,0.4060745225150183,3.5739194417354136,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,MT,112,0.4262160508563915,3.024436765984468,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,ST,112,0.40932272606090586,3.7621882826984088,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,CT,33,0.10599104135164689,14.441985072068855,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,MT,34,0.12543221662055054,20.111744235315854,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,ST,34,0.08625834438345446,13.68541161473382,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,CT,32,546.4026392368374,0.6208349266099312,0.65625
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,MT,32,569.4422955890827,0.6403174312618823,0.625
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,ST,33,584.455369711549,0.6600399438924444,0.6666666666666666
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,CT,105,4.737878834079228,1.5974865414147437,0.7904761904761904
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,MT,102,4.455482659584057,2.1348542403914657,0.8137254901960784
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,ST,106,5.991723264650845,2.3546782909189607,0.7641509433962265
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,CT,36,2.526529557552127,0.43713999991289687,0.9444444444444444
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,MT,34,2.7184693441174845,0.48787906845393053,0.8235294117647058
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,ST,34,2.539033622870938,0.44763067913007487,0.8823529411764706
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,CT,121,0.9763853114096734,1.0406016108142166,0.9586776859504132
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,MT,120,1.7038067769801233,1.8458195159917374,0.95
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,ST,120,1.053759679085484,1.459105176807515,0.9166666666666666
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,CT,132,1275.3332755076583,0.9363397044809857,0.5151515151515151
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,MT,134,1146.8136426526482,1.4265392293830335,0.664179104477612
