DisplayTarget,Method,Evaluation,n,NRMSE_percent,IntervalCoverage,diagnostic_basis
NH4,Bayes,posterior_predictive_fit,82,16.9%,100.0%,Bayesian posterior-predictive diagnostics
NH4,ML,full_record_physical_event_reconstruction,42,84.8%,NA,Full-record physical-event reconstruction points
NO3,Bayes,posterior_predictive_fit,831,14.5%,95.1%,Bayesian posterior-predictive diagnostics
NO3,ML,full_record_physical_event_reconstruction,356,13.5%,NA,Full-record physical-event reconstruction points
NO2,Bayes,posterior_predictive_fit,440,55.6%,98.4%,Bayesian posterior-predictive diagnostics
NO2,ML,full_record_physical_event_reconstruction,129,60.6%,NA,Full-record physical-event reconstruction points
OP,Bayes,posterior_predictive_fit,811,100.9%,91.1%,Bayesian posterior-predictive diagnostics
OP,ML,full_record_physical_event_reconstruction,335,80.4%,NA,Full-record physical-event reconstruction points
Se,Bayes,posterior_predictive_fit,215,12.9%,94.0%,Bayesian posterior-predictive diagnostics
Se,ML,full_record_physical_event_reconstruction,101,659.4%,NA,Full-record physical-event reconstruction points
TDS,Bayes,posterior_predictive_fit,368,10.3%,98.6%,Bayesian posterior-predictive diagnostics
TDS,ML,full_record_physical_event_reconstruction,97,10.6%,NA,Full-record physical-event reconstruction points
TKN,Bayes,posterior_predictive_fit,739,91.3%,96.1%,Bayesian posterior-predictive diagnostics
TKN,ML,full_record_physical_event_reconstruction,313,57.6%,NA,Full-record physical-event reconstruction points
TN,Bayes,posterior_predictive_fit,172,33.4%,98.3%,Bayesian posterior-predictive diagnostics
TN,ML,full_record_physical_event_reconstruction,104,19.7%,NA,Full-record physical-event reconstruction points
TP,Bayes,posterior_predictive_fit,815,190.4%,93.1%,Bayesian posterior-predictive diagnostics
TP,ML,full_record_physical_event_reconstruction,361,74.4%,NA,Full-record physical-event reconstruction points
TSS,Bayes,posterior_predictive_fit,894,158.1%,87.9%,Bayesian posterior-predictive diagnostics
TSS,ML,full_record_physical_event_reconstruction,400,56.1%,NA,Full-record physical-event reconstruction points
Volume,Bayes,posterior_predictive_fit,372,44.1%,89.0%,Bayesian posterior-predictive diagnostics
Volume,ML,full_record_physical_event_reconstruction,333,40.6%,NA,Full-record physical-event reconstruction points
