DisplayTarget,Evaluation,n,RMSE,RMSE_units,NRMSE_percent,Coverage
NH4,full_record_physical_event_reconstruction,42,0.09213,mg/L,84.8%,NA
NH4,outer_loyo_physical_event_validation,42,0.1901,mg/L,174.9%,100.0%
NO3,full_record_physical_event_reconstruction,356,0.9483,mg/L,13.5%,NA
NO3,outer_loyo_physical_event_validation,356,3.778,mg/L,53.8%,94.7%
NO2,full_record_physical_event_reconstruction,129,0.1683,mg/L,60.6%,NA
NO2,outer_loyo_physical_event_validation,129,0.3426,mg/L,123.3%,100.0%
OP,full_record_physical_event_reconstruction,335,0.09742,mg/L,80.4%,NA
OP,outer_loyo_physical_event_validation,335,0.414,mg/L,341.8%,100.0%
Se,full_record_physical_event_reconstruction,101,0.04365,mg/L,659.4%,NA
Se,outer_loyo_physical_event_validation,101,0.1071,mg/L,1618.1%,100.0%
TDS,full_record_physical_event_reconstruction,97,94.23,mg/L,10.6%,NA
TDS,outer_loyo_physical_event_validation,97,567.2,mg/L,64.1%,64.9%
TKN,full_record_physical_event_reconstruction,313,1.462,mg/L,57.6%,NA
TKN,outer_loyo_physical_event_validation,313,5.114,mg/L,201.6%,78.9%
TN,full_record_physical_event_reconstruction,104,1.116,mg/L,19.7%,NA
TN,outer_loyo_physical_event_validation,104,2.595,mg/L,45.7%,88.5%
TP,full_record_physical_event_reconstruction,361,0.6413,mg/L,74.4%,NA
TP,outer_loyo_physical_event_validation,361,1.286,mg/L,149.3%,94.2%
TSS,full_record_physical_event_reconstruction,400,547.4,mg/L,56.1%,NA
TSS,outer_loyo_physical_event_validation,400,1117,mg/L,114.4%,56.5%
Volume,full_record_physical_event_reconstruction,333,1.087e+04,L,40.6%,NA
Volume,outer_loyo_physical_event_validation,333,2.534e+04,L,94.6%,85.0%
