Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg
ML,full_record_model_only,NH4,CT,1.18672505834263
ML,full_record_model_only,NH4,MT,1.0037939979194923
ML,full_record_model_only,NH4,ST,0.92639832429861
ML,full_record_model_only,NO2,CT,0.8476620668190217
ML,full_record_model_only,NO2,MT,0.7106074109248108
ML,full_record_model_only,NO2,ST,0.6360162764119275
ML,full_record_model_only,NO3,CT,10.888830786665785
ML,full_record_model_only,NO3,MT,8.296586400871739
ML,full_record_model_only,NO3,ST,8.460933456507604
ML,full_record_model_only,OP,CT,0.3189062934131194
ML,full_record_model_only,OP,MT,0.327671473321304
ML,full_record_model_only,OP,ST,0.3189016124258362
ML,full_record_model_only,Se,CT,0.6584851662711607
ML,full_record_model_only,Se,MT,0.569408104305315
ML,full_record_model_only,Se,ST,0.5059318553131671
ML,full_record_model_only,TDS,CT,533.5030027628945
ML,full_record_model_only,TDS,MT,614.2111520050972
ML,full_record_model_only,TDS,ST,645.8588082952881
ML,full_record_model_only,TKN,CT,5.278392307426052
ML,full_record_model_only,TKN,MT,4.270957489161987
ML,full_record_model_only,TKN,ST,3.949934192955303
ML,full_record_model_only,TN,CT,7.396316436733197
ML,full_record_model_only,TN,MT,4.6232734350515345
ML,full_record_model_only,TN,ST,4.619227968761029
ML,full_record_model_only,TP,CT,1.6954793294569228
ML,full_record_model_only,TP,MT,1.8036907874998942
ML,full_record_model_only,TP,ST,1.7610182229275302
ML,full_record_model_only,TSS,CT,2239.124399699793
ML,full_record_model_only,TSS,MT,1431.698481149168
ML,full_record_model_only,TSS,ST,1525.6611382474898
