Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,TN,CT,,posterior_median,True,"14.59 (8.329, 23.63)"
Bayes,model_only,TN,MT,,posterior_median,True,"13.7 (6.761, 22.65)"
Bayes,model_only,TN,ST,,posterior_median,True,"14.03 (7.013, 23.3)"
Bayes,model_only,TP,CT,,posterior_median,True,"1.488 (0.3695, 3.353)"
Bayes,model_only,TP,MT,,posterior_median,True,"1.955 (0.7715, 3.922)"
Bayes,model_only,TP,ST,,posterior_median,True,"1.812 (0.5279, 3.813)"
Bayes,model_only,TSS,CT,,posterior_median,True,"1948 (821.6, 4007)"
Bayes,model_only,TSS,MT,,posterior_median,True,"1763 (777.9, 3587)"
Bayes,model_only,TSS,ST,,posterior_median,True,"1757 (674.8, 3686)"
ML,full_record_model_only,TN,CT,7.396316436733197,mean_of_replicate_annual_plot_totals,False,"7.396 (8.426, 19.28)"
ML,full_record_model_only,TN,MT,4.6232734350515345,mean_of_replicate_annual_plot_totals,False,"4.623 (5.211, 11.34)"
ML,full_record_model_only,TN,ST,4.619227968761029,mean_of_replicate_annual_plot_totals,False,"4.619 (5.266, 11.21)"
ML,full_record_model_only,TP,CT,1.6954793294569228,mean_of_replicate_annual_plot_totals,False,"1.695 (1.997, 5.137)"
ML,full_record_model_only,TP,MT,1.8036907874998942,mean_of_replicate_annual_plot_totals,False,"1.804 (1.905, 7.025)"
ML,full_record_model_only,TP,ST,1.7610182229275302,mean_of_replicate_annual_plot_totals,False,"1.761 (1.922, 6.029)"
ML,full_record_model_only,TSS,CT,2239.124399699793,mean_of_replicate_annual_plot_totals,False,"2239 (2437, 6427)"
ML,full_record_model_only,TSS,MT,1431.698481149168,mean_of_replicate_annual_plot_totals,True,"1432 (1427, 5209)"
ML,full_record_model_only,TSS,ST,1525.6611382474898,mean_of_replicate_annual_plot_totals,False,"1526 (1593, 4575)"
