divergence_group,draws,mean_beta_res_V,median_beta_res_V,q05_beta_res_V,q95_beta_res_V
divergent,31,-0.12765540967741934,-0.13117,-0.875138,0.753798
nondivergent,3969,-0.1334943461439607,-0.196015,-0.8809724,0.703729
