variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,probability_positive,parameter_family,parameter_index,analyte,rhat_threshold,rhat_status
beta_res_V,-0.133449094386345,-0.195794,0.5237178352075675,0.6603759855,-0.8811626499999999,0.70513945,1.0399428014997745,101.44575720420075,902.1630572251026,0.4095,beta_res_V,NA,NA,1.04,at_or_below_1.04
beta_res_C[1],0.20253807065175,0.2079345,0.5426443083171275,0.5426264109,-0.65418835,1.0863969999999998,1.0024638242874537,1463.752997369757,2206.495275776476,0.64275,beta_res_C,1,NH4,1.04,at_or_below_1.04
beta_res_C[2],0.01314103486375,0.0107774,0.135442594740159,0.11862297426,-0.20652895,0.22877614999999998,1.03211434596225,242.047754955946,346.02143644207973,0.54325,beta_res_C,2,NO3,1.04,at_or_below_1.04
beta_res_C[3],-0.27843438536155,-0.2750725,0.5472915868417734,0.54374592216,-1.1880295,0.6395716499999999,1.0117314526924672,751.7970801672171,2293.147231157852,0.3065,beta_res_C,3,NO2,1.04,at_or_below_1.04
beta_res_C[4],0.331894487006,0.3457905,0.3775808367574924,0.3933749221499999,-0.30226469999999994,0.9447190499999999,1.049597768790558,71.87060009542526,799.72835179734,0.80075,beta_res_C,4,OP,1.04,above_1.04
beta_res_C[5],-0.22621780340975,-0.254084,0.4575281714993661,0.42472939173,-0.91060635,0.5593640999999999,1.047369376099071,66.69364401435398,61.55554996057502,0.2825,beta_res_C,5,Se,1.04,above_1.04
beta_res_C[6],0.02361509791425,0.02955615,0.2690965957865601,0.24628335921,-0.42473114999999995,0.45604045000000004,1.0059772958156148,652.0882507962997,1158.554388987872,0.553,beta_res_C,6,TDS,1.04,at_or_below_1.04
beta_res_C[7],-0.03815819196425,-0.04874705,0.2764636313422541,0.26713701777,-0.47046055,0.42827204999999985,1.0390059472785242,103.82214701835487,242.52347558442187,0.43,beta_res_C,7,TKN,1.04,at_or_below_1.04
beta_res_C[8],0.043401794645775,0.026714099999999998,0.42763453191449796,0.4215693039600001,-0.62885165,0.79305615,1.0031296075050942,542.3752704056157,1175.373144120721,0.52325,beta_res_C,8,TN,1.04,at_or_below_1.04
beta_res_C[9],0.246340175440025,0.2204835,0.29389408465048733,0.27382561941,-0.19612195,0.8037226499999995,1.1075025036554673,25.720503253075503,41.95520188666548,0.8085,beta_res_C,9,TP,1.04,above_1.04
