chain,parameter,mean,sd,q05,median,q95,probability_positive
1,beta_res_V,-0.019868373398,0.5078276670965431,-0.8154708,0.01198635,0.7021374499999998,0.503
2,beta_res_V,-0.03962291609,0.5466923013293638,-0.8742308999999999,-0.022019900000000002,0.7800201499999999,0.486
3,beta_res_V,-0.113780379689,0.5515082914853031,-0.9131592,-0.1900285,0.7382672999999998,0.437
4,beta_res_V,-0.36052470836838,0.4040971275415233,-0.8996468000000001,-0.461511,0.3950143999999998,0.212
1,b_res_stir,-1.1270389541,0.3131486416330442,-1.638804,-1.13832,-0.6136631000000007,0
2,b_res_stir,-1.10767437,0.3071119016626447,-1.612959,-1.111945,-0.5997911500000002,0
3,b_res_stir,-1.07504600741,0.3217154289606025,-1.5935730000000001,-1.09336,-0.5469742500000002,0
4,b_res_stir,-1.0066208544,0.3231179339001588,-1.5435634999999999,-1.002705,-0.5238170500000001,0.001
1,res_base,0.2195380997,0.08291493944904446,0.099105835,0.215501,0.36541444999999995,1
2,res_base,0.2217862013,0.07798460590199824,0.10879420000000001,0.21538800000000002,0.3613828,1
3,res_base,0.2210954745,0.07677507111802018,0.10765095000000001,0.21443800000000002,0.36474249999999997,1
4,res_base,0.229915996,0.08349256415191082,0.1058259,0.22055249999999998,0.3821042499999999,1
1,sigma_PCr_res,1.0657615762,0.6369772705171949,0.133594,1.00659,2.2126379999999997,1
2,sigma_PCr_res,0.93836527372,0.5773233136261648,0.1024802,0.8841019999999999,1.939180999999999,1
3,sigma_PCr_res,0.9934181485,0.5342414092394884,0.2129267,0.9445349999999999,1.9740989999999998,1
4,sigma_PCr_res,1.0594091476,0.5423434002932583,0.20736365,1.029275,2.0893115,1
1,sigma_res_obs,2.28268926,0.24898401540335632,1.9257250000000001,2.2701700000000002,2.7168519999999994,1
2,sigma_res_obs,2.30619903,0.24644493795126102,1.9268445,2.28941,2.731238,1
3,sigma_res_obs,2.30821811,0.2462823733208214,1.9262505,2.291805,2.7239345,1
4,sigma_res_obs,2.33936317,0.2439767248384854,1.966689,2.3241300000000003,2.7687279999999994,1
