Year,CT,MT,ST
2011,"151 (103, 192)","146 (103, 194)","141 (100, 184)"
2012,"221 (135, 305)","205 (145, 268)","187 (128, 249)"
2013,"191 (137, 240)","193 (146, 244)","169 (123, 215)"
2014,"152 (117, 190)","103 (62, 147)","106 (69, 143)"
2015,"167 (124, 213)","123 (79, 163)","121 (78, 159)"
2016,"54 (30, 79)","31 (10, 51)","38 (17, 58)"
2017,"223 (172, 272)","141 (103, 177)","134 (93, 175)"
2018,"195 (101, 301)","183 (96, 282)","183 (97, 282)"
2019,"46 (28, 65)","45 (25, 65)","45 (25, 65)"
2020,"203 (143, 265)","165 (116, 210)","163 (119, 203)"
2021,"185 (133, 238)","143 (90, 204)","145 (95, 198)"
2022,"248 (185, 309)","214 (165, 259)","219 (167, 267)"
2023,"256 (208, 308)","257 (206, 312)","237 (193, 283)"
2024,"178 (144, 213)","189 (147, 233)","200 (168, 232)"
2025,"276 (218, 333)","288 (229, 347)","282 (228, 349)"
Total,"2746 (1977, 3523)","2425 (1722, 3155)","2370 (1699, 3062)"
Total,"2746 (1977, 3523)","2425 (1722, 3155)","2370 (1699, 3062)"
