physical_event_index,PhysicalEventID,Year,Irrigation,Rep,Treatment,E_rep_row,VIN_E,row_count
84,PE_248493668060338e72e6,2023,1,1,MT,5890,84,60
344,PE_a5dd6f772a1d2e7d821c,2023,2,1,MT,6030,344,60
195,PE_5bf168b414e63b4f63f3,2023,4,2,CT,2647,195,50
257,PE_78a0e5a12037218db30c,2023,5,2,ST,9999,257,50
295,PE_8d90127b55de039c6ab7,2023,4,1,MT,6230,295,50
360,PE_acc7ee117e759ece44f9,2023,3,2,MT,6135,360,50
376,PE_b6fd60d10e559978199b,2023,3,1,MT,6130,376,50
2,PE_007bf9724431b43650d7,2025,7,1,ST,10925,2,40
3,PE_00b38906ec1907c7d0dc,2024,4,1,ST,10325,3,40
4,PE_01024210b88310ac1815,2025,6,1,CT,3533,4,40
8,PE_02b42436b7981ca07571,2024,4,2,MT,6644,8,40
9,PE_0373cedd6c6b07cdac38,2025,3,1,ST,10565,9,40
29,PE_0c2d197a5610b0bbb10e,2025,6,2,ST,10809,29,40
31,PE_0c873ebca68f220b5575,2014,3,2,CT,573,31,40
38,PE_0f2c1b5db3c1949d1f74,2014,3,1,CT,533,38,40
39,PE_0f6804c5fdc4da7fb4f7,2014,1,2,CT,473,39,40
51,PE_1607bd85c5b858754283,2023,2,2,CT,2487,51,40
56,PE_17f8630aaa6312f3912a,2023,5,2,CT,2737,56,40
70,PE_2000666922e9baf4491a,2025,5,2,ST,10729,70,40
76,PE_21ef5b6342274d9e3203,2023,2,1,CT,2483,76,40
