Year,Treatment,Analyte,AnnualLoad_kg,n_replicate_plots,n_physical_events,AnnualLoad_mg,central_estimate_type
2012,MT,TDS,0.22807131820387969,2,18,228071.3182038797,mean_of_replicate_annual_plot_totals
2012,MT,TKN,0.4871600384047381,2,18,487160.03840473806,mean_of_replicate_annual_plot_totals
2012,MT,TN,0.36076764571678444,2,18,360767.64571678446,mean_of_replicate_annual_plot_totals
2012,MT,TP,0.19661972134166128,2,18,196619.7213416613,mean_of_replicate_annual_plot_totals
2012,MT,TSP,0.05869402008698605,2,18,58694.02008698605,mean_of_replicate_annual_plot_totals
2012,MT,TSS,100.69328908241147,2,20,100693289.08241147,mean_of_replicate_annual_plot_totals
2012,ST,ICP,0.030473625894884965,2,16,30473.625894884965,mean_of_replicate_annual_plot_totals
2012,ST,NH4,0.04013840475476245,2,16,40138.40475476245,mean_of_replicate_annual_plot_totals
2012,ST,NO2,0.051298071986195924,2,16,51298.07198619592,mean_of_replicate_annual_plot_totals
2012,ST,NO3,0.6433974717208376,2,17,643397.4717208376,mean_of_replicate_annual_plot_totals
2012,ST,NOx,0.25616370712717806,2,16,256163.70712717806,mean_of_replicate_annual_plot_totals
2012,ST,NPOC,0.24869003793963776,2,16,248690.03793963775,mean_of_replicate_annual_plot_totals
2012,ST,OP,0.023676938142421288,2,16,23676.938142421288,mean_of_replicate_annual_plot_totals
2012,ST,Se,0.03603541532095114,2,16,36035.41532095114,mean_of_replicate_annual_plot_totals
2012,ST,TDS,0.1648625059911577,2,16,164862.5059911577,mean_of_replicate_annual_plot_totals
2012,ST,TKN,0.35572564016164854,2,16,355725.6401616485,mean_of_replicate_annual_plot_totals
2012,ST,TN,0.21421645988921112,2,16,214216.4598892111,mean_of_replicate_annual_plot_totals
2012,ST,TP,0.16860306645531298,2,16,168603.06645531298,mean_of_replicate_annual_plot_totals
2012,ST,TSP,0.04009169964002807,2,16,40091.69964002807,mean_of_replicate_annual_plot_totals
2012,ST,TSS,75.99034774807998,2,20,75990347.74807999,mean_of_replicate_annual_plot_totals
2013,CT,ICP,0.024591647754766757,2,14,24591.647754766756,mean_of_replicate_annual_plot_totals
2013,CT,NH4,0.036899946111394355,2,14,36899.946111394354,mean_of_replicate_annual_plot_totals
2013,CT,NO2,0.03642337547120216,2,14,36423.37547120216,mean_of_replicate_annual_plot_totals
2013,CT,NO3,0.7070950393896971,2,14,707095.0393896971,mean_of_replicate_annual_plot_totals
2013,CT,NOx,0.3488290944877144,2,14,348829.09448771435,mean_of_replicate_annual_plot_totals
2013,CT,NPOC,0.35496286170123253,2,14,354962.86170123256,mean_of_replicate_annual_plot_totals
2013,CT,OP,0.016696156801034756,2,14,16696.156801034755,mean_of_replicate_annual_plot_totals
2013,CT,Se,0.025127840809325203,2,14,25127.840809325204,mean_of_replicate_annual_plot_totals
2013,CT,TDS,0.21752412782827157,2,14,217524.12782827156,mean_of_replicate_annual_plot_totals
2013,CT,TKN,0.5052289921493796,2,14,505228.99214937957,mean_of_replicate_annual_plot_totals
2013,CT,TN,0.34865775351528305,2,14,348657.75351528305,mean_of_replicate_annual_plot_totals
