Year_Test,Target,n_test,MAE,RMSE,R2,q_conformal,coverage,mean_interval_width_log,n_calibration,mode,calibration
2011,logC,126,0.2855036907690348,0.3865784492327296,0.9798089007608949,0.843427002021905,0.9761904761904762,1.6868540040438103,1294,reconstruction,physical-event
2012,logC,191,0.4002884778574757,0.5386554389942544,0.9577465270741544,0.8303919054053877,0.8691099476439791,1.6607838108107758,1312,reconstruction,physical-event
2013,logC,90,0.4315584357573965,0.6197418471405615,0.9282017554009764,0.8249235308385918,0.8666666666666667,1.6498470616771834,1485,reconstruction,physical-event
2014,logC,238,0.3977000448956721,0.569590152532669,0.9363101625100125,0.8596084932449397,0.865546218487395,1.7192169864898792,1255,reconstruction,physical-event
2015,logC,397,0.3937345484353777,0.7398822527863083,0.860469085040757,0.8273368505079786,0.9168765743073047,1.6546737010159571,1272,reconstruction,physical-event
2016,logC,216,0.3707258334243534,0.5621409155856274,0.9110988390807279,0.8437824756724934,0.8842592592592593,1.687564951344987,1280,reconstruction,physical-event
2017,logC,324,0.4993624173908666,0.6588679188230864,0.9402917028643767,0.8674535314615142,0.8395061728395061,1.734907062923028,1524,reconstruction,physical-event
2020,logC,246,0.28865696308560296,0.40928994650998396,0.9516115154740052,0.8716175223552163,0.9471544715447154,1.7432350447104326,1345,reconstruction,physical-event
2021,logC,539,0.32246324302691615,0.5111318263730343,0.9477522192206692,0.8529358000357137,0.8701298701298701,1.7058716000714271,1147,reconstruction,physical-event
2022,logC,577,0.42695179513913384,0.7107659864263407,0.8626085926658491,0.8345984144596543,0.8145580589254766,1.6691968289193084,1205,reconstruction,physical-event
2023,logC,928,0.6136274818612344,0.9064962686891871,0.9015769415278502,0.8410325212078966,0.7640086206896551,1.6820650424157932,1148,reconstruction,physical-event
2024,logC,646,0.5021925632626207,0.6943943063878227,0.9437540198900909,0.8955353485674653,0.8297213622291022,1.7910706971349304,1233,reconstruction,physical-event
2025,logC,1003,0.6000232978779811,0.8501832803057155,0.9148723852106937,0.7326509522378779,0.6630109670987039,1.4653019044757556,1065,reconstruction,physical-event
2011,logV,27,1.4184973537310204,1.660978924952119,-5.524024516897287,4.8915308808737725,1.0,9.783061761747547,90,reconstruction,physical-event
2012,logV,49,2.319392431871465,4.228895042854626,-0.21987764668835652,1.7237477894253947,0.7959183673469388,3.447495578850789,80,reconstruction,physical-event
2013,logV,32,0.7362755479666931,0.8224826015905902,-0.22113025881881687,4.1972469984771505,1.0,8.3944939969543,82,reconstruction,physical-event
2014,logV,23,1.4634144116717203,2.7549447925267425,0.07084462169487116,1.873284216043447,0.8260869565217391,3.7465684320868924,86,reconstruction,physical-event
2015,logV,36,0.6489216333229189,0.8611015989373536,-0.0693794615795722,2.723806025544257,1.0,5.447612051088516,82,reconstruction,physical-event
2016,logV,12,1.2325069593190927,1.421084368905616,-0.9114102748417232,1.8634645954674838,0.8333333333333334,3.7269291909349676,93,reconstruction,physical-event
2017,logV,36,0.793102809972106,0.9916102086869898,0.3089646128561335,2.1894075616663615,0.9722222222222222,4.378815123332722,88,reconstruction,physical-event
2020,logV,9,0.8661515348510695,1.0390895304865424,-0.07490752136553391,2.6290750728685444,1.0,5.258150145737089,89,reconstruction,physical-event
2021,logV,18,0.9176240960821436,1.2311854792478676,-0.45969979971366115,1.8682050892932835,0.8333333333333334,3.736410178586567,88,reconstruction,physical-event
2023,logV,30,1.076282101736583,1.1768883672144477,-5.828206350095245,2.0391179834055366,0.9666666666666667,4.078235966811075,86,reconstruction,physical-event
2024,logV,27,2.8784296518881525,2.9298033641309513,-30.79118333142655,2.0746760741628396,0.1111111111111111,4.149352148325679,87,reconstruction,physical-event
2025,logV,73,1.0515557997342642,1.2064531744155105,-1.0125561481459866,3.026932308586069,0.9863013698630136,6.053864617172138,74,reconstruction,physical-event
