Target,Year,n,rmse_original_units,nrmse_mean_abs,interval_coverage
Result_mg_L,2011,126.0,362.25233347441963,1.238531888019564,0.8809523809523809
Result_mg_L,2012,191.0,286.40728386146793,1.2117950484333402,0.8429319371727748
Result_mg_L,2013,90.0,481.1480378544424,2.3605929314498706,0.8666666666666667
Result_mg_L,2014,238.0,501.9362431284608,2.7063303605092712,0.865546218487395
Result_mg_L,2015,397.0,344.76733996265637,3.3658668949612163,0.9168765743073047
Result_mg_L,2016,216.0,208.85194210532444,3.106501537098533,0.9444444444444444
Result_mg_L,2017,324.0,781.3536138426973,2.247830849054828,0.8117283950617284
Result_mg_L,2020,246.0,159.50105893521103,3.0327498245621807,0.9105691056910569
Result_mg_L,2021,539.0,357.33733578487283,2.4635055102044054,0.8719851576994434
Result_mg_L,2022,577.0,357.91245028120176,4.864250442657494,0.8093587521663779
Result_mg_L,2023,928.0,1251.2422236004988,3.0973344342173,0.8308189655172413
Result_mg_L,2024,646.0,1300.1650613124389,3.0204002661089917,0.848297213622291
Result_mg_L,2025,1003.0,1531.1215224773664,3.639364641087317,0.8215353938185443
Volume_L,2011,27.0,22509.396210378505,0.9834597998793569,0.48148148148148145
Volume_L,2012,49.0,10913.627013257952,0.9316381019944664,0.7142857142857143
Volume_L,2013,32.0,15084.370233027706,0.6867027551440649,1.0
Volume_L,2014,23.0,21890.010628401105,1.0099120743923846,0.8260869565217391
Volume_L,2015,36.0,8626.35042070709,0.6075744220757927,1.0
Volume_L,2016,12.0,23957.963757942307,1.1405521297503698,0.4166666666666667
Volume_L,2017,36.0,25576.202109516387,0.977246495623761,0.9166666666666666
Volume_L,2020,9.0,20228.159355929285,0.8895078371142457,1.0
Volume_L,2021,18.0,11699.313477499076,0.9314033484941465,0.8333333333333334
Volume_L,2023,30.0,34556.42199142687,0.8334085671315803,1.0
Volume_L,2024,27.0,50802.22025107952,0.9556333025317023,0.6666666666666666
Volume_L,2025,73.0,33831.926552083736,0.701506324847967,0.9863013698630136
