Year,Treatment,Analyte,mean,median,low,high,n_draws,point_total_mg
2011,CT,ICP,11500.948535508356,7626.801151025846,2079.501922285508,44583.916287952554,2000,5259.086984285696
2011,CT,NO3,307619.125693021,276632.50470777845,125380.01196046162,642470.8626106887,2000,221092.42428770894
2011,CT,OP,11481.508149962798,7890.704046404358,2032.6071543128753,39604.11986401542,2000,5266.590259531147
2011,CT,TN,160248.74581198752,143654.25413971063,66201.13886518108,336417.6540464323,2000,114250.55852240165
2011,CT,TP,49560.95302952883,41719.187980938324,17158.879755583912,121814.8264998111,2000,33094.554807502594
2011,CT,TSS,53358749.084128305,50187083.40223311,28693422.554138005,96761581.54902174,2000,38574551.82047086
2011,MT,ICP,526.7663618167859,344.2209041081917,49.19018227279147,2027.8989221873258,2000,278.3633508339227
2011,MT,NO3,14323.785301941973,11970.725551234076,4374.077750245871,35892.84403530376,2000,10397.666215622268
2011,MT,OP,455.9543046663147,261.68864760474764,25.243419870998103,2020.8069226991868,2000,203.04880488226337
2011,MT,TN,7877.828424238716,6864.8200583432645,2468.930150958312,19010.857058338745,2000,5903.314735983876
2011,MT,TP,1824.3932984555336,1468.7863094754093,419.55576701873065,4781.003295585118,2000,1274.2107949565861
2011,MT,TSS,2203724.2577718175,2025006.8093837174,992869.0214528134,4376884.50899924,2000,1634354.4426138678
2011,ST,ICP,1112.154156801229,696.9634721477952,145.27127838934015,4373.701351996341,2000,468.15233274284316
2011,ST,NO3,34272.929922094634,29920.424210082907,13394.449991743706,75045.92376207768,2000,24829.760005878445
2011,ST,OP,1099.4444106614087,638.5483508975354,119.49337577869723,4833.240292278393,2000,405.4835078756962
2011,ST,TN,17368.61985373129,15404.880343200672,6829.511984084702,36400.83526232651,2000,12378.941711214968
2011,ST,TP,4583.763527498051,3833.2931313371696,1570.8998495545404,11633.015517053982,2000,3101.0323699599057
2011,ST,TSS,5162400.6040726835,4831945.504905687,2893440.034198213,9057531.2050973,2000,3813945.1787155233
2012,CT,ICP,35769.46131455171,30252.036934412878,13824.195059762209,90643.14360430918,2000,21916.49732469686
2012,CT,NO3,718564.7504703756,685814.4992580451,431031.995518329,1219161.9017418923,2000,538980.5464222139
2012,CT,OP,40287.37029802147,34435.50772749134,15451.662921676105,100109.00816816514,2000,26172.82795794072
2012,CT,TN,330724.2978384235,311118.4303827273,181606.87426346086,606291.6354557925,2000,245874.9207084685
2012,CT,TP,136655.95016707233,126277.71632494521,72197.41054845796,253868.1847304123,2000,98876.06482348085
2012,CT,TSS,69364084.10605833,66341984.309108615,40520719.00539055,115024327.77320008,2000,52944309.53724466
2012,MT,ICP,36255.36961365432,30090.393686209056,12545.606545871695,99440.11706915572,2000,22095.07675028016
2012,MT,NO3,588672.6389818562,549913.6836081496,308511.8138217345,1116801.4925926859,2000,443886.5763647224
2012,MT,OP,40986.38943264988,34726.06901937044,13973.58754255672,105010.82529733775,2000,25778.6750403917
2012,MT,TN,354181.70571294264,330771.65214787726,181574.3922269922,670009.0795712157,2000,265420.2741591533
