Year,Treatment,Analyte,AnnualLoad_kg,n_replicate_plots,n_physical_events,AnnualLoad_mg,central_estimate_type
2012,MT,ICP,0.03846395192813782,2,18,38463.951928137816,mean_of_replicate_annual_plot_totals
2012,MT,NH4,0.04313868827836405,2,18,43138.68827836405,mean_of_replicate_annual_plot_totals
2012,MT,NO2,0.08402726364577313,2,18,84027.26364577313,mean_of_replicate_annual_plot_totals
2012,MT,NO3,0.8610651672783741,2,18,861065.1672783741,mean_of_replicate_annual_plot_totals
2012,MT,NOx,0.2950248846785253,2,18,295024.88467852527,mean_of_replicate_annual_plot_totals
2012,MT,NPOC,0.3182410318881479,2,18,318241.0318881479,mean_of_replicate_annual_plot_totals
2012,MT,OP,0.035974614681082054,2,18,35974.61468108206,mean_of_replicate_annual_plot_totals
2012,MT,Se,0.04114198782867235,2,18,41141.987828672354,mean_of_replicate_annual_plot_totals
2012,MT,TDS,0.5448672498641053,2,18,544867.2498641053,mean_of_replicate_annual_plot_totals
2012,MT,TKN,0.4970603895083008,2,18,497060.3895083008,mean_of_replicate_annual_plot_totals
2012,MT,TN,0.2867543768159688,2,18,286754.37681596883,mean_of_replicate_annual_plot_totals
2012,MT,TP,0.1604422497373591,2,18,160442.2497373591,mean_of_replicate_annual_plot_totals
2012,MT,TSP,0.042957497840303366,2,18,42957.49784030337,mean_of_replicate_annual_plot_totals
2012,MT,TSS,103.40963658095956,2,20,103409636.58095956,mean_of_replicate_annual_plot_totals
2012,ST,ICP,0.029084267449573546,2,16,29084.267449573545,mean_of_replicate_annual_plot_totals
2012,ST,NH4,0.032734891378619194,2,16,32734.891378619195,mean_of_replicate_annual_plot_totals
2012,ST,NO2,0.05716057364604671,2,16,57160.57364604671,mean_of_replicate_annual_plot_totals
2012,ST,NO3,0.68276943100012,2,17,682769.43100012,mean_of_replicate_annual_plot_totals
2012,ST,NOx,0.23751663001929824,2,16,237516.63001929823,mean_of_replicate_annual_plot_totals
2012,ST,NPOC,0.25703440210085726,2,16,257034.40210085726,mean_of_replicate_annual_plot_totals
2012,ST,OP,0.02393391338745643,2,16,23933.91338745643,mean_of_replicate_annual_plot_totals
2012,ST,Se,0.026273984948694554,2,16,26273.984948694553,mean_of_replicate_annual_plot_totals
2012,ST,TDS,0.4267166436747728,2,16,426716.6436747728,mean_of_replicate_annual_plot_totals
2012,ST,TKN,0.41399350274439417,2,16,413993.5027443942,mean_of_replicate_annual_plot_totals
2012,ST,TN,0.25077978533663847,2,16,250779.78533663848,mean_of_replicate_annual_plot_totals
2012,ST,TP,0.15221782110046211,2,16,152217.8211004621,mean_of_replicate_annual_plot_totals
