feature,importance_mean,importance_sd
DaysUntilHarvest,19.062159986876477,8.37150976103933
DaysSincePlant,13.855250510621254,8.811001651242277
DayOfYear,9.198520852438387,5.374520571724819
MeasureMethod,8.488475800663267,2.3064650307776327
FlumeMethod,7.792553295174719,2.1558966261832313
CumAll_STIR_toDate,7.524120848886124,4.526434686712552
Inflow_Volume,5.692454046939493,1.9193833056689256
Treatment,3.993869282190728,1.7944913336699286
Irrigation,3.8442748071437105,2.50604939289557
previous_crop,3.717797837332665,1.3583014852506308
Crop,3.380203334861859,1.2247060246610189
Season_STIR_toDate,2.956508708934365,0.9771668742985317
residue_prop,2.1931217655959663,1.9217431444940607
Residue_DryMass_kg_m2,2.074614053054369,0.9001477766370332
Year,1.9132049835096627,1.1714469698935606
Rep,1.5024321658005235,1.2028399719543603
SeasonYear,1.389684055122185,0.7160791647786494
IrrMethod,1.160552721452496,0.6680499822274413
FurrowTireCompaction,0.26020094340175576,0.1716397181733028
