SampleID,Date,Year,Treatment,Analyte,Irrigation,Rep,Target,y_true,y_pred,pi_low,pi_high,PhysicalEventID,ConcentrationObservationID,VolumeObservationID,UnitOfAnalysis,mode,calibration,residual_observed_minus_predicted,discrepancy_standardization_group,standardized_discrepancy
CT1-01-OT,2011-06-30,2011,CT,OP,1,1,Result_mg_L,0.064,0.2465840813043628,0.0,1.6570182914281872,PE_8372856d847ab29e3d55,CO_5feceb66ffc86f38d952,,analyte_row,reconstruction,physical-event,-0.1825840813043628,Result_mg_L|OP,-0.5142970342310278
CT1-01-OT,2011-06-30,2011,CT,TP,1,1,Result_mg_L,1.431,1.274349053085098,0.06704847838348492,3.8476369350203843,PE_8372856d847ab29e3d55,CO_0ffe1abd1a08215353c2,,analyte_row,reconstruction,physical-event,0.156650946914902,Result_mg_L|TP,0.057106219450962524
CT1-01-OT,2011-06-30,2011,CT,ICP,1,1,Result_mg_L,0.117,0.2741454058569518,0.0,1.7157635815137087,PE_8372856d847ab29e3d55,CO_edee29f882543b956620,,analyte_row,reconstruction,physical-event,-0.1571454058569518,Result_mg_L|ICP,-0.7343207977908225
CT1-01-OT,2011-06-30,2011,CT,NO3,1,1,Result_mg_L,8.566999999999998,8.264467944816936,3.3465783803677205,18.746650995231633,PE_8372856d847ab29e3d55,CO_79f06f8fde333461739f,,analyte_row,reconstruction,physical-event,0.3025320551830628,Result_mg_L|NO3,0.0840137118512828
CT1-01-OT,2011-06-30,2011,CT,TN,1,1,Result_mg_L,12.702999999999998,7.324419521669698,2.905539113257245,16.742994849938214,PE_8372856d847ab29e3d55,CO_41c991eb6a66242c0454,,analyte_row,reconstruction,physical-event,5.378580478330299,Result_mg_L|TN,1.6685233553679188
CT1-01-OT,2011-06-30,2011,CT,TSS,1,1,Result_mg_L,1621.1999999999996,613.71146534098,287.40205193975237,1309.2201703495248,PE_8372856d847ab29e3d55,CO_066ed963441d69ce4c40,,analyte_row,reconstruction,physical-event,1007.4885346590196,Result_mg_L|TSS,0.4372576913464565
CT2-01-0T,2011-07-01,2011,CT,OP,1,2,Result_mg_L,0.08,0.23338471702477578,0.0,1.6288846477758554,PE_7ab5d22c48132f848099,CO_4e07408562bedb8b60ce,,analyte_row,reconstruction,physical-event,-0.1533847170247758,Result_mg_L|OP,-0.43204919343821624
CT2-01-0T,2011-07-01,2011,CT,TP,1,2,Result_mg_L,3.336999999999999,1.3806115383414719,0.1169032810349312,4.07412897134045,PE_7ab5d22c48132f848099,CO_793a84a351bd364d2f03,,analyte_row,reconstruction,physical-event,1.956388461658527,Result_mg_L|TP,0.7131903829696855
CT2-01-0T,2011-07-01,2011,CT,ICP,1,2,Result_mg_L,0.09300000000000001,0.29708362217989837,0.0,1.7646549970683125,PE_7ab5d22c48132f848099,CO_90d441ee3fce238cd433,,analyte_row,reconstruction,physical-event,-0.20408362217989834,Result_mg_L|ICP,-0.9536572032630892
CT2-01-0T,2011-07-01,2011,CT,NO3,1,2,Result_mg_L,6.999999999999998,8.689577713047083,3.5460256598961726,19.652746658566606,PE_7ab5d22c48132f848099,CO_a5c718889eb455929d33,,analyte_row,reconstruction,physical-event,-1.6895777130470844,Result_mg_L|NO3,-0.4691988591040188
CT2-01-0T,2011-07-01,2011,CT,TN,1,2,Result_mg_L,10.802999999999999,8.104183489244464,3.271378276762193,18.40501440875922,PE_7ab5d22c48132f848099,CO_b770da13569d1b2a2501,,analyte_row,reconstruction,physical-event,2.6988165107555346,Result_mg_L|TN,0.8372168824451736
CT2-01-0T,2011-07-01,2011,CT,TSS,1,2,Result_mg_L,1149.1199999999994,680.0089984743652,318.5066362403005,1450.529337419629,PE_7ab5d22c48132f848099,CO_cff4f909408f86508604,,analyte_row,reconstruction,physical-event,469.11100152563426,Result_mg_L|TSS,0.2035977447443069
CT1-02-OT,2011-07-18,2011,CT,OP,2,1,Result_mg_L,0.356,0.19060295702568933,0.0,1.5376979235413195,PE_35e13c2714d6ea95f5d3,CO_e7f6c011776e8db7cd33,,analyte_row,reconstruction,physical-event,0.16539704297431065,Result_mg_L|OP,0.46588513119318287
CT1-02-OT,2011-07-18,2011,CT,TP,2,1,Result_mg_L,2.788,1.3070221968800837,0.08237762424311126,3.9172777574917443,PE_35e13c2714d6ea95f5d3,CO_e1d9ce80c3abd825263a,,analyte_row,reconstruction,physical-event,1.4809778031199161,Result_mg_L|TP,0.5398821079129077
CT1-02-OT,2011-07-18,2011,CT,ICP,2,1,Result_mg_L,0.381,0.19465511765599988,0.0,1.5463348579254603,PE_35e13c2714d6ea95f5d3,CO_3f14a60b7590cb27fad9,,analyte_row,reconstruction,physical-event,0.18634488234400012,Result_mg_L|ICP,0.8707662939357238
CT1-02-OT,2011-07-18,2011,CT,NO3,2,1,Result_mg_L,8.057,8.889700487921678,3.6399165699700484,20.079296204118954,PE_35e13c2714d6ea95f5d3,CO_4469948f22fdf2a32bda,,analyte_row,reconstruction,physical-event,-0.8327004879216773,Result_mg_L|NO3,-0.23124246721010275
CT1-02-OT,2011-07-18,2011,CT,TN,2,1,Result_mg_L,5.592999999999999,4.658844176080153,1.6549403484503937,11.061482823087463,PE_35e13c2714d6ea95f5d3,CO_2b3baf9bf9df0480f227,,analyte_row,reconstruction,physical-event,0.9341558239198458,Result_mg_L|TN,0.2897903668157229
CT1-02-OT,2011-07-18,2011,CT,TSS,2,1,Result_mg_L,1115.4,717.8402193039265,336.25577926072435,1531.1642879526298,PE_35e13c2714d6ea95f5d3,CO_a00b8671c08db0c9e22d,,analyte_row,reconstruction,physical-event,397.55978069607363,Result_mg_L|TSS,0.1725439703769957
CT2-02-OT,2011-07-19,2011,CT,OP,2,2,Result_mg_L,0.127,0.19595907432723886,0.0,1.5491141624093476,PE_9e155a06de6d2a36ed95,CO_19581e27de7ced00ff1c,,analyte_row,reconstruction,physical-event,-0.06895907432723886,Result_mg_L|OP,-0.19424172773691042
CT2-02-OT,2011-07-19,2011,CT,TP,2,2,Result_mg_L,2.5930000000000004,1.4238305162926879,0.1371801794281564,4.166247599097237,PE_9e155a06de6d2a36ed95,CO_829f00a11ddfdebb51b6,,analyte_row,reconstruction,physical-event,1.1691694837073126,Result_mg_L|TP,0.426214143143535
CT2-02-OT,2011-07-19,2011,CT,ICP,2,2,Result_mg_L,0.15400000000000003,0.227949114760354,0.0,1.6172989915348537,PE_9e155a06de6d2a36ed95,CO_b847856411aef26fd25b,,analyte_row,reconstruction,physical-event,-0.07394911476035398,Result_mg_L|ICP,-0.3455549505289339
CT2-02-OT,2011-07-19,2011,CT,NO3,2,2,Result_mg_L,7.213000000000001,9.208043895525202,3.7892726453824723,20.757825851371543,PE_9e155a06de6d2a36ed95,CO_ed9d0fce1e4dc986fe5e,,analyte_row,reconstruction,physical-event,-1.9950438955252014,Result_mg_L|NO3,-0.5540273835375668
CT2-02-OT,2011-07-19,2011,CT,TN,2,2,Result_mg_L,3.0999999999999996,5.28355922970013,1.9480357493011229,12.393025034553864,PE_9e155a06de6d2a36ed95,CO_123ec5685653a03f3c59,,analyte_row,reconstruction,physical-event,-2.1835592297001307,Result_mg_L|TN,-0.6773756732398778
CT2-02-OT,2011-07-19,2011,CT,TSS,2,2,Result_mg_L,1486.3200000000004,661.3828147197818,309.7678540351419,1410.8287575087686,PE_9e155a06de6d2a36ed95,CO_f2074e94f6e52462f9b9,,analyte_row,reconstruction,physical-event,824.9371852802186,Result_mg_L|TSS,0.358029016442905
,2011-07-28,2011,CT,TSS,3,1,Result_mg_L,929.9399999999998,649.1392886280587,304.023601248394,1384.7324249266555,PE_c33b54f99c0ede44173e,CO_e51d853d4508558ceb3a,,analyte_row,reconstruction,physical-event,280.80071137194113,Result_mg_L|TSS,0.12186964571710268
,2011-07-29,2011,CT,TSS,3,2,Result_mg_L,1101.7330000000002,925.9826846720673,433.90925978377396,1974.8073169310176,PE_d16ac2ea89bbe98196a0,CO_088cb864279a4e4c8652,,analyte_row,reconstruction,physical-event,175.75031532793287,Result_mg_L|TSS,0.07627697436746773
CT1-04-OT,2011-08-09,2011,CT,OP,4,1,Result_mg_L,0.076,0.12930231057582087,0.0,1.4070393170851494,PE_9b06b2640ba03d9fa7c4,CO_4ec9599fc203d176a301,,analyte_row,reconstruction,physical-event,-0.05330231057582087,Result_mg_L|OP,-0.1501402534709952
CT1-04-OT,2011-08-09,2011,CT,TP,4,1,Result_mg_L,3.0199999999999996,0.986325571049355,0.0,3.2337323684475043,PE_9b06b2640ba03d9fa7c4,CO_e9ab39f01d431c525049,,analyte_row,reconstruction,physical-event,2.0336744289506443,Result_mg_L|TP,0.7413645465836541
CT1-04-OT,2011-08-09,2011,CT,ICP,4,1,Result_mg_L,0.08100000000000002,0.09848309724339914,0.0,1.3413500348459686,PE_9b06b2640ba03d9fa7c4,CO_ec3fdcd8136188e3b476,,analyte_row,reconstruction,physical-event,-0.017483097243399123,Result_mg_L|ICP,-0.08169632351399368
