Target,Year,n,rmse_original_units,nrmse_mean_abs,interval_coverage
Result_mg_L,2011,126.0,315.1894547493493,1.0776250541451227,0.9285714285714286
Result_mg_L,2012,191.0,257.4301392337598,1.0891921596235083,0.9162303664921466
Result_mg_L,2013,90.0,482.54871937438776,2.36746490979138,0.8666666666666667
Result_mg_L,2014,238.0,492.5650081481772,2.6558027126460004,0.7100840336134454
Result_mg_L,2015,397.0,365.4585634464399,3.567869509674822,0.9143576826196473
Result_mg_L,2016,216.0,177.23236250903335,2.6361861949086483,0.9629629629629629
Result_mg_L,2017,324.0,814.2352328731018,2.3424260698536554,0.8395061728395061
Result_mg_L,2020,246.0,149.70803881161046,2.846545543160842,0.9390243902439024
Result_mg_L,2021,539.0,344.92325611926054,2.3779220835714727,0.8831168831168831
Result_mg_L,2022,577.0,359.58101150614635,4.886927216462543,0.8110918544194108
Result_mg_L,2023,928.0,1276.181383769324,3.159069019331513,0.7920258620689655
Result_mg_L,2024,646.0,1255.9207657162108,2.9176167917878506,0.9071207430340558
Result_mg_L,2025,1003.0,1519.048765724554,3.6106685752286496,0.8614157527417746
Volume_L,2011,27.0,21303.105597035872,0.9307556618337837,0.7407407407407407
Volume_L,2012,49.0,10889.760770579966,0.9296007682095343,0.7755102040816326
Volume_L,2013,32.0,16296.96495731413,0.7419050688752301,1.0
Volume_L,2014,23.0,21290.059084845092,0.9822328595133637,0.9130434782608695
Volume_L,2015,36.0,9072.883203652686,0.6390247903433303,1.0
Volume_L,2016,12.0,23627.173126308953,1.1248043824366685,0.5833333333333334
Volume_L,2017,36.0,26063.69410229108,0.995873179896265,0.9166666666666666
Volume_L,2020,9.0,21501.588752649714,0.9455052913790335,1.0
Volume_L,2021,18.0,11841.354611765697,0.9427114981846632,0.8888888888888888
Volume_L,2023,30.0,32911.72783670397,0.7937429385778673,1.0
Volume_L,2024,27.0,52918.05413790377,0.995433951300225,0.3333333333333333
Volume_L,2025,73.0,32708.513740608083,0.6782123161118058,0.9863013698630136
