Target,CalibrationResidualLog,SamplingProbability,AbsoluteResidualConformalQ,PropagationMethod
logV,-0.3952753389369015,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-3.768580033233767,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-8.965504338675425,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-9.631419201355673,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.329369596445094,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.5190886972932045,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.1617139185506229,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.2425863051256787,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,1.6771061848382143,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.2521903816410944,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-1.3036372657295718,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.1560546553120119,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.33218034970731836,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.692350875138839,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.20147618334019946,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.7139377463818555,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.796823797332463,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.018208377122267194,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.5100751768639107,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.49665191284361043,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.22436846039518343,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.19787024093489336,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.49471300036167243,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.35197689999225723,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.14900126110027756,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.1464865115727303,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.10590708041466357,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.32518784234481224,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.0728914622225858,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.3287876662235938,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.32185589165094797,0.005952380952380952,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.2318326336585148,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-0.2309717504676776,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,0.11057167051241734,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
logV,-3.763777354536068,0.011904761904761904,3.763777354536068,weighted_resampling_of_signed_log_scale_calibration_residuals
