Target,Year,n,coverage
Result_mg_L,2011,126,0.9285714285714286
Result_mg_L,2012,191,0.9162303664921466
Result_mg_L,2013,90,0.8666666666666667
Result_mg_L,2014,238,0.7100840336134454
Result_mg_L,2015,397,0.9143576826196473
Result_mg_L,2016,216,0.9629629629629629
Result_mg_L,2017,324,0.8395061728395061
Result_mg_L,2020,246,0.9390243902439024
Result_mg_L,2021,539,0.8831168831168831
Result_mg_L,2022,577,0.8110918544194108
Result_mg_L,2023,928,0.7920258620689655
Result_mg_L,2024,646,0.9071207430340558
Result_mg_L,2025,1003,0.8614157527417746
Volume_L,2011,27,0.7407407407407407
Volume_L,2012,49,0.7755102040816326
Volume_L,2013,32,1.0
Volume_L,2014,23,0.9130434782608695
Volume_L,2015,36,1.0
Volume_L,2016,12,0.5833333333333334
Volume_L,2017,36,0.9166666666666666
Volume_L,2020,9,1.0
Volume_L,2021,18,0.8888888888888888
Volume_L,2023,30,1.0
Volume_L,2024,27,0.3333333333333333
Volume_L,2025,73,0.9863013698630136
