analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"0.33 (0.16, 0.56)","0.30 (0.13, 0.52)","0.29 (0.13, 0.51)","10.3% (-23.6%, 39.6%)","11.9% (-20.8%, 39.6%)"
NO2,"1.04 (0.41, 2.20)","0.82 (0.33, 1.76)","0.80 (0.31, 1.72)","20.3% (-14.8%, 47.7%)","22.3% (-9.8%, 47.4%)"
NO3,"19.75 (16.27, 23.38)","17.92 (14.80, 21.34)","17.27 (14.18, 20.52)","9.0% (-4.9%, 22.3%)","12.3% (-0.8%, 25.2%)"
OP,"0.45 (0.30, 0.62)","0.45 (0.32, 0.61)","0.44 (0.30, 0.59)","-1.5% (-25.5%, 19.0%)","2.4% (-21.1%, 22.7%)"
Se,"0.02 (0.01, 0.02)","0.01 (0.01, 0.02)","0.01 (0.01, 0.02)","19.5% (6.1%, 32.0%)","20.6% (8.3%, 32.4%)"
TDS,"2370.15 (1723.37, 3088.50)","2227.30 (1663.81, 2845.34)","2173.24 (1629.94, 2787.58)","5.6% (-10.3%, 20.0%)","7.9% (-6.8%, 21.5%)"
TKN,"9.42 (6.44, 13.04)","7.60 (5.22, 10.73)","7.66 (5.22, 10.83)","18.8% (-3.1%, 36.9%)","18.2% (-3.5%, 36.3%)"
TN,"16.34 (8.86, 25.19)","14.08 (7.02, 22.50)","13.77 (6.71, 22.11)","13.9% (-5.5%, 32.6%)","15.8% (-2.8%, 34.6%)"
TP,"1.80 (0.48, 3.93)","2.02 (0.79, 3.87)","1.76 (0.49, 3.69)","-21.7% (-103.2%, 21.2%)","-0.8% (-49.1%, 33.0%)"
TSS,"2404.96 (956.05, 4580.78)","1929.63 (802.73, 3690.48)","1775.10 (593.60, 3528.98)","18.3% (-14.4%, 43.0%)","26.1% (-1.0%, 51.6%)"
