analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg,MT_pct_red_mean,MT_pct_red_low,MT_pct_red_high,ST_pct_red_mean,ST_pct_red_low,ST_pct_red_high
NH4,0.333784081261082,0.2974241064321437,0.2919846423441906,0.16295784998810814,0.13061321399596576,0.1323606374262604,0.5645794390902692,0.5155325184317444,0.5074046241317154,10.328241910128202,-23.64064653120099,39.63049918915854,11.92261149770043,-20.840919664761245,39.58321613223464
NO2,1.044197454378937,0.81994602621905,0.8000523617227671,0.4125153670279885,0.32533178379206756,0.3127821325622232,2.195347436336663,1.756406380107991,1.7211289327779464,20.326424541703314,-14.789208973022667,47.6904743289452,22.255048165600567,-9.832545530594373,47.42373810617366
NO3,19.750255801676552,17.920954468210393,17.27037963722785,16.26585392282658,14.800969375469908,14.177703679432113,23.380595077359004,21.34086148403351,20.521599225343465,8.984539950461555,-4.916124994529095,22.33480792073405,12.336875931642913,-0.7891951031375354,25.1522243111312
OP,0.4501539993170371,0.45274869584427274,0.4355276138261179,0.29788493196509247,0.31820154032475123,0.3028989258260686,0.6229310310252687,0.610569153968521,0.591091432548964,-1.5386416962698792,-25.544314862893145,19.04372247783467,2.36295940091158,-21.110749421513407,22.74464455203399
Se,0.018138901844009743,0.014571491032094772,0.014364036880313704,0.014116595840181745,0.011126844689104248,0.010881401516996968,0.02250195677097123,0.01840757438001541,0.01791892018213556,19.458242622033076,6.129982857552475,31.98752603430582,20.61042314370458,8.338786249739478,32.3723455294183
TDS,2370.145223905133,2227.297160621779,2173.2427307991484,1723.373146788415,1663.814693760948,1629.9423594624373,3088.501341345439,2845.3434918707253,2787.575484091709,5.553474561732173,-10.258566022322984,19.9833381305535,7.891460429834934,-6.756630291980308,21.515718285066434
TKN,9.421948561214686,7.599902687677932,7.664665255465115,6.436182858062343,5.221719480779079,5.223928916879913,13.037032830089604,10.73245809820024,10.831942967665436,18.808849282728254,-3.1241671883295794,36.91176995671356,18.169213813482454,-3.4680379044578302,36.32500889766919
TN,16.342491803037266,14.077162508354368,13.769061787514616,8.85811232479654,7.020484643933847,6.7133812194331455,25.190922675539163,22.503644996312246,22.114241751552747,13.865773018185164,-5.471067772483313,32.64607880277532,15.826329187695183,-2.773488400243365,34.5817559013141
TP,1.8048167516520432,2.0221023067652166,1.7551674783020166,0.48216944248124705,0.7853501588282137,0.48522842375728004,3.929308718000998,3.873328489372133,3.6895670952048443,-21.655985619289034,-103.24842212107046,21.15208918912016,-0.7718716183918712,-49.14278886028937,33.04794881776881
TSS,2404.9637298117605,1929.6286513005953,1775.0968824303595,956.0534451542869,802.7279596385254,593.6011729370352,4580.781849488356,3690.4831571557866,3528.9765569611995,18.325037529997136,-14.364296821249864,43.02975097724569,26.09236434537183,-0.9785391654560112,51.61321583211478
