divergence_group,draws,mean_beta_res_V,median_beta_res_V,q05_beta_res_V,q95_beta_res_V
divergent,16,-0.05691419375,0.0946467,-0.9451117499999999,0.61838175
nondivergent,3984,-0.029110187965210844,0.01947675,-0.9056617,0.7995165
