Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ICP,ALL,ML,9,25924.681369553517,29130.43138588067,1.4815424217940438,1.4152290494653863,0.0,453.3493900880619,,13495.1217244114,0.7570784369401626
NH4,ALL,Bayes,6,36858.164322327844,41146.216515965476,2.922644168267608,112.64260927183891,0.0,40489.43964156017,0.95,30649.7567264628,2.1859206354619096
NH4,ALL,ML,6,1971.3751779423183,2865.681029383603,0.1663969942645699,5.1443801901298585,0.5,0.0,,133806.29269567298,5.324472012771939
NO2,ALL,Bayes,9,88184.54092817864,161963.35879565112,0.20881489791987567,0.07021160203383585,0.7777777777777778,218953.10586117086,0.95,74262.88550417984,0.12164690614113868
NO2,ALL,ML,9,180169.79186082855,310261.1573428344,0.5190609318422711,0.17361706730163107,0.0,3957.9866224930042,,699302.0029245673,1.2319549372578145
NO3,ALL,Bayes,35,3310194.7179725766,3935041.158481331,1.3531710267763584,0.32982125441885607,0.08571428571428572,857913.8237302272,0.95,3204341.608517155,1.1057448954304998
NO3,ALL,ML,35,1213798.4829512648,1918470.3920435007,0.6053934633952348,0.14740089110522758,0.05714285714285714,534157.2283203157,,1920597.3234435609,0.6465568085146539
NPOC,ALL,ML,3,2.9103830456733704e-10,3.377382175051842e-10,2.7868249228847397e-16,,0.6666666666666666,0.0,,234677.5442604172,0.42226280028423796
OP,ALL,Bayes,32,49105.577248140165,80154.37345816546,0.7151706518724282,0.18767438539705875,0.625,100486.90301288196,0.95,39680.23310213833,0.36965276109974876
OP,ALL,ML,32,62311.121221751426,122201.94277256727,1.0637976864015477,0.2814426006288733,0.0625,1392.1304139436138,,72299.58119576576,0.6488548885774468
Se,ALL,Bayes,5,5339.548660133609,5544.097118557223,6.645574888526815,23.309341134064613,0.0,1052.6627132768713,0.95,5183.525871732625,6.31703326167844
Se,ALL,ML,5,12485.254019254991,20043.08522695421,22.07896558110383,47.46743828988251,0.0,407.4766991544362,,20688.5998260243,22.702537632755497
TDS,ALL,Bayes,9,399238623.41837776,511667589.17722005,0.3513991104277575,0.6050263643219528,0.1111111111111111,163944006.53850478,0.95,376417711.82461953,0.265066819143352
TDS,ALL,ML,9,359009507.8895523,515176098.4577018,0.34117057750777385,0.5338682715288765,0.0,38878437.58505501,,1178169561.6606038,0.8073295819858768
TKN,ALL,Bayes,29,947979.147141357,1178869.9603349888,1.0030585831244292,0.22630313539132077,0.3103448275862069,962780.9042044056,0.95,826061.6992725902,0.7109237302703234
TKN,ALL,ML,29,741416.3247750769,1066073.4749170651,0.8955736388510532,0.19640688055747527,0.10344827586206896,322127.72178582475,,599181.3585519007,0.5087973213745092
TN,ALL,Bayes,15,1598072.5192051977,2091701.9491355524,2.2486891448222535,0.9845324410773356,0.4666666666666667,2580498.1938903537,0.95,1338105.3090613722,1.4023002349344744
TN,ALL,ML,15,355407.5402769357,425119.8128376271,0.4329020250211251,0.18077618327319217,0.13333333333333333,362856.47523479426,,2269385.18601539,1.5054014972152432
TP,ALL,Bayes,35,415692.14457757096,671362.5449594916,0.9826100739490228,0.17248493666197914,0.8571428571428571,1250825.360629088,0.95,319380.7253244982,0.47331447375573604
TP,ALL,ML,35,463215.03303968685,1447576.2585193256,1.8607308847397084,0.32259930132654957,0.02857142857142857,42794.93558613375,,443889.89324630017,0.5946928344626025
TSP,ALL,ML,9,29134.194229665613,48072.24335218677,4.9437087287767865,2.3550399032444904,0.2222222222222222,228.70541988119416,,44846.94423049203,4.478686973520183
TSS,ALL,Bayes,35,511678173.4039751,847186165.6294197,0.8414053007487654,0.19413629876634633,0.6857142857142857,1067776715.2958692,0.95,430647993.49463695,0.4322459492606008
TSS,ALL,ML,35,357061650.4297945,1004784632.5478736,1.0362875330256043,0.22150086426924687,0.05714285714285714,43797121.84963702,,815784126.6441071,0.813976988630646
