Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ALL,ALL,"('Bayes',)",210,103268405.1867547,361723727.69139284,1.2033889834372549,3.956373238681147,0.48095238095238096,185683568.7789781,0.95,88714022.7568175,0.8193189516733896
ALL,ALL,"('ML',)",231,68476001.14302377,404116386.51661277,1.5846478853587034,1.3332685701061548,0.08225108225108226,8302473.704456542,,170133711.14228496,1.481533295789794
