Method,Scenario,Analyte,Draw,CT,MT,ComparisonTreatment,valid_percent_denominator,AbsoluteDifference_CT_minus_T_kg,PercentDifferenceRelativeToCT,TreatmentLowerThanCT,ST
BayesSensitivity,annual_draw_truncation_at_zero,NH4,1,0.5006718359411979,0.3743070249296788,MT,True,0.12636481101151908,25.239049201553286,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,2,0.5217817883260842,0.5393655765962742,MT,True,-0.017583788270189915,-3.3699505547328603,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,3,0.6775096143240588,0.5430222149250191,MT,True,0.13448739939903964,19.850256963986514,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,9,0.4349177621799785,0.42936205653259474,MT,True,0.00555570564738378,1.2774152105300096,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,10,0.4415997567719074,0.4160325890031099,MT,True,0.025567167768797472,5.789669803193139,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,13,0.6384208052246054,0.6152482832365792,MT,True,0.023172521988026218,3.629662723769442,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,16,0.7090633081582451,0.7050000781018642,MT,True,0.004063230056380984,0.5730419286445679,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,17,0.5947363249801861,0.5007396967882235,MT,True,0.09399662819196264,15.804756535611672,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,20,0.548627527601875,0.35502868300456786,MT,True,0.1935988445973072,35.287847374985695,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,25,0.6536950695612481,0.6077477863365398,MT,True,0.04594728322470831,7.028855710285156,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,26,0.5752568634279603,0.44796187198174914,MT,True,0.1272949914462112,22.128374216634167,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,27,0.5418138260357156,0.4708054320762134,MT,True,0.0710083939595022,13.105681425490504,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,28,0.5943602370806033,0.5800093961393054,MT,True,0.014350840941297904,2.414502190083711,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,34,0.41971252359838207,0.30876999852983095,MT,True,0.11094252506855112,26.432979439686843,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,36,0.6535382243799693,0.6515970069149394,MT,True,0.001941217465029954,0.2970319703750524,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,38,0.7788791126389937,0.7898711722938372,MT,True,-0.010992059654843511,-1.4112664566905997,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,45,0.7714777633564555,0.6849183774703851,MT,True,0.08655938588607037,11.219945667581902,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,47,0.4323630358850512,0.44432742558899796,MT,True,-0.011964389703946754,-2.7672091994301815,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,49,0.662147627433082,0.5839323631379956,MT,True,0.0782152642950864,11.812360424562725,1.0,
