Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
Bayes,model_only,NH4,CT,0.48804732600957246,0.4875479936100604,0.1053341786502276,0.8342445042617611,1500
Bayes,model_only,NH4,MT,0.4395339044151907,0.4423321413513995,0.08494928851558795,0.7809687968591498,1500
Bayes,model_only,NH4,ST,0.46330999528415684,0.47195679239337457,0.12040158152751651,0.7984300070672626,1500
Bayes,model_only,NO2,CT,0.16975418899864733,0.12812425093594498,-2.7460633767305276,3.491971075608608,1500
Bayes,model_only,NO2,MT,0.06823404175202735,0.020315641334877454,-2.679860557192459,3.2014586590446292,1500
Bayes,model_only,NO2,ST,0.10761082552233446,0.05644928397805826,-2.5959651985150427,3.2806773028511174,1500
Bayes,model_only,NO3,CT,40.92362360716428,40.90854997434528,34.24768099262008,47.91806899168182,1500
Bayes,model_only,NO3,MT,38.749966038621004,38.71775070641471,34.43400523157125,43.32849313166758,1500
Bayes,model_only,NO3,ST,38.55274963508754,38.5113705120488,34.38771301613252,43.19309163958706,1500
Bayes,model_only,OP,CT,0.5991061980417458,0.5904948498008109,0.2924305660278978,0.93045501738411,1500
Bayes,model_only,OP,MT,0.597915222227273,0.5935367250092771,0.3272849218922924,0.8967034935525338,1500
Bayes,model_only,OP,ST,0.5708239565951959,0.5680116389615715,0.3177370795599135,0.8400974665922988,1500
Bayes,model_only,Se,CT,0.03812609360695455,0.038170876081802405,0.029393275791933394,0.04624390419403988,1500
Bayes,model_only,Se,MT,0.03342252215295479,0.03349977927705039,0.0262499722926006,0.040080651466953846,1500
Bayes,model_only,Se,ST,0.033651834032602204,0.03370084723199325,0.02653696113038024,0.040239674106867525,1500
Bayes,model_only,TDS,CT,5199.126856256737,5205.220463432082,4047.5548531710424,6352.112091653161,1500
Bayes,model_only,TDS,MT,5005.142600205403,5019.803989582937,4005.991026756951,5995.32632267442,1500
Bayes,model_only,TDS,ST,5011.971195330575,5004.419129890518,4009.1675622633734,6013.223113496781,1500
Bayes,model_only,TKN,CT,12.142922710322818,12.022590894305646,7.727690396548095,17.101590191254786,1500
Bayes,model_only,TKN,MT,8.361438159818285,8.326955375322715,4.427173045432412,12.891889700108376,1500
Bayes,model_only,TKN,ST,8.496093850261488,8.427183843990411,4.749774309174366,12.990678830193932,1500
Bayes,model_only,TN,CT,32.649386069108274,32.46315208160331,14.96665119084869,49.286664921246214,1500
Bayes,model_only,TN,MT,28.64637515672954,28.540499316405956,13.694503500863927,43.822695196000474,1500
Bayes,model_only,TN,ST,28.59052221590043,28.401052551020562,13.539695884604239,43.78901453289053,1500
Bayes,model_only,TP,CT,3.4894973506677385,3.439305530997222,1.090920007193903,6.224927015478727,1500
Bayes,model_only,TP,MT,2.2754660558442983,2.2794106040875093,-0.052450037092977554,4.761905708933603,1500
Bayes,model_only,TP,ST,2.0977702429390956,2.0915624549246914,-0.028570748737851898,4.333326856013278,1500
Bayes,model_only,TSS,CT,6603.755361694218,6521.109672577177,4330.48412492867,9439.78365305135,1500
Bayes,model_only,TSS,MT,3399.338707588103,3399.258349556205,1114.1642882289686,5623.224361849116,1500
Bayes,model_only,TSS,ST,3894.5411611352915,3862.011015089118,1768.971601241126,6000.384026135379,1500
ML,full_record_model_only,NH4,CT,47.709527665626084,47.23199661234683,31.354800811203308,66.95409255970215,2000
ML,full_record_model_only,NH4,MT,42.07032558417582,41.50189431815768,25.186169171258836,62.37461700400367,2000
ML,full_record_model_only,NH4,ST,41.22956514942865,40.48500982981914,26.101976903218258,60.72465792903274,2000
ML,full_record_model_only,NO2,CT,42.42352844544921,41.711842334553516,27.856637551285136,60.74077194430264,2000
ML,full_record_model_only,NO2,MT,37.809980564985764,37.026666982348104,22.94694757632103,55.434346685333445,2000
