Analyte,CT,MT,ST
NH4,0.50 (15),0.43 (15),0.41 (15)
NO3,0.57* (15),0.78* (15),0.61* (15)
NO2,0.12 (15),-0.04 (15),-0.08 (15)
OP,-0.16 (15),0.22 (15),0.32 (15)
Se,0.64* (15),0.79* (15),0.75* (15)
TDS,0.42 (15),0.73* (15),0.66* (15)
TKN,0.35 (15),0.39 (15),0.35 (15)
TN,0.64* (15),0.60* (15),0.72* (15)
TP,0.22 (15),0.07 (15),0.19 (15)
TSS,0.38 (15),0.15 (15),0.17 (15)
