Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,ObservedAnnualVolume_kL,ObservedAnnualVolumeLower95_kL,ObservedAnnualVolumeUpper95_kL
2011,CT,352.79085618430724,270.3631764248838,440.6265736922422,162.10424540425512,,,12,10,0.8333333333333334,False,,,
2011,MT,397.6045578198605,308.3023846450701,479.5108477080484,212.32393671384742,,,12,6,0.5,False,,,
2011,ST,400.2494743043511,307.8289594363703,484.494755645348,253.3978335935974,,,12,11,0.9166666666666666,False,,,
2012,CT,504.34519084634985,387.60406091360966,629.5364271999217,164.45274009368555,,,20,18,0.9,False,,,
2012,MT,593.4269858669577,451.3805271170325,720.8006532334908,229.6420969981874,,,20,15,0.75,False,,,
2012,ST,540.6405402944214,426.3471284832641,643.272591350686,190.29640971425496,,,20,16,0.8,False,,,
2013,CT,493.3535121820952,368.5531107758552,601.0757613793212,220.59576121824796,,,14,11,0.7857142857142857,False,,,
2013,MT,496.6449638072392,368.38442952981416,603.9168231497042,291.88634366663905,,,14,9,0.6428571428571429,False,,,
2013,ST,496.6449638072392,368.38442952981416,603.9168231497042,221.5282090411921,,,14,12,0.8571428571428571,False,,,
2014,CT,321.9269012133817,256.3041736098114,383.9464919307831,177.36973232787156,,,10,8,0.8,False,,,
2014,MT,291.06369717630724,224.69482686666663,351.8187253007278,129.72158901036875,,,10,6,0.6,False,,,
2014,ST,330.46777736121606,254.51980203807227,399.8773838084785,145.0635007956322,,,10,8,0.8,False,,,
2015,CT,351.7401724858319,277.0912979952551,431.950632166791,247.59964552883804,,,12,12,1.0,True,229.2092225,179.02138315625,273.724334875
2015,MT,339.79823205062945,292.29053174445846,389.5673638673195,104.8035934769563,,,12,12,1.0,True,105.33368875,67.00306693750001,149.32624118749996
2015,ST,327.40963828576025,280.5937021716008,374.4314237473132,126.52364834120145,,,12,12,1.0,True,90.3864775,59.64446621875,124.4441696875
2016,CT,110.9495202143741,52.67848994500354,161.04566324834886,107.65262810439589,,,4,4,1.0,True,153.22589,117.8529111111111,204.96065888888887
2016,MT,98.66025433557476,43.82404439324969,147.41303087654885,33.544303731133375,,,4,4,1.0,True,20.6415,11.12841888888889,33.34319555555555
2016,ST,97.739245905463,43.47535115508419,146.1554676546321,84.24336391679972,,,4,4,1.0,True,78.19962,34.939962500000014,121.16322874999996
2017,CT,391.1982861895797,303.6114390643582,484.8464948981677,373.16246752213175,,,12,12,1.0,True,595.055,408.46116445,813.2927442999999
2017,MT,339.7928288908003,283.00365553178,399.2017705671095,148.95383615677937,,,12,12,1.0,True,192.42943,103.65603490000002,289.58048734999994
2017,ST,329.07314149766063,270.92108707329504,389.6359736187423,134.8334355698125,,,12,12,1.0,True,149.21987,87.62328005000002,223.67525825
2018,CT,360.3776678150171,231.99191652738543,531.2621731826976,163.73746235350842,,,10,0,0.0,False,,,
2018,MT,363.8841737112433,238.77070353412597,517.1548489956804,146.78957409008922,,,10,0,0.0,False,,,
2018,ST,362.0592070012191,237.4139755521437,515.7855877643583,142.32182877413143,,,10,0,0.0,False,,,
2019,CT,91.86292289303154,71.35013437859767,111.99796674557108,39.072173491381825,,,2,0,0.0,False,,,
2019,MT,91.86292289303154,71.35013437859767,111.99796674557108,30.203995470102893,,,2,0,0.0,False,,,
2019,ST,91.86292289303154,71.35013437859767,111.99796674557108,31.37854638004244,,,2,0,0.0,False,,,
2020,CT,532.5494528822959,410.0650373092636,644.5129328715595,306.07623248111776,,,16,2,0.125,False,,,
2020,MT,396.26826116921,343.00841271780416,451.43683841041263,203.41042507383412,,,15,0,0.0,False,,,
2020,ST,403.54877872109824,345.38441184995094,462.8980685117001,258.4854012704278,,,15,7,0.4666666666666667,False,,,
2021,CT,348.8749491231202,267.5098773954284,435.3312882658038,215.44979510676887,,,12,5,0.4166666666666667,False,,,
2021,MT,270.36040381314217,216.66257220296788,338.1757084691778,115.35304736556512,,,12,6,0.5,False,,,
2021,ST,283.92860295486827,237.20511355397304,339.83429015874185,133.66426526722327,,,12,7,0.5833333333333334,False,,,
2022,CT,535.088586159077,439.27033756962686,626.4968490440016,274.17394441785746,,,17,0,0.0,False,,,
2022,MT,480.94178524082537,423.9617655586016,538.298194430004,254.38246452934902,,,17,0,0.0,False,,,
2022,ST,490.82919930668936,429.1148251384684,552.022630891618,270.4832419419223,,,17,0,0.0,False,,,
2023,CT,512.4123755678575,433.17135715348974,586.2725068842077,448.76589266962907,,,14,10,0.7142857142857143,False,,,
2023,MT,490.6912232756754,430.2629192494732,553.5799033245764,507.0817066220035,,,14,10,0.7142857142857143,False,,,
2023,ST,479.1312835230993,424.3193817502888,535.2642268668347,422.44939990193336,,,14,10,0.7142857142857143,False,,,
2024,CT,367.8397941578604,285.137214058203,449.3979705504523,268.5087426089875,,,8,5,0.625,False,,,
2024,MT,367.8397941578604,285.137214058203,449.3979705504523,395.83627755582035,,,8,6,0.75,False,,,
2024,ST,367.8397941578604,285.137214058203,449.3979705504523,386.4015863220702,,,8,7,0.875,False,,,
2025,CT,511.9019710124941,413.3036998607099,605.541220829104,649.7709569536382,,,16,14,0.875,False,,,
2025,MT,413.4630382760616,365.8028379902241,459.4832405444207,676.8877625067965,,,16,15,0.9375,False,,,
2025,ST,428.1848935601685,379.0681552328381,477.7894810758095,711.1886775184013,,,16,15,0.9375,False,,,
