Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.06842002293619419,0.6294941869266497,,NH4
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.28169818687877907,2.5917467357959967,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,357,1.0087011720397765,0.1436100027609646,,NO3
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,357,2.3014172404706152,0.32765554895685567,0.8851540616246498,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1581573217549923,0.5691731041942226,,NO2
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.33965909692981106,1.222357715862399,1.0,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,336,0.09512645453038882,0.7876220083834957,,OP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,336,0.22429167845826795,1.8570760691451182,1.0,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,102,0.030847993143190564,4.660162769895049,,Se
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,102,0.13677412889245985,20.662274540545532,1.0,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,147.48232691423203,0.16665155034721155,,TDS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,594.2168717119891,0.6714510476286565,0.41237113402061853,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,314,1.4073343063653267,0.554898997130985,,TKN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,314,5.133239387427538,2.0239891653557085,0.7898089171974523,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1468478866754916,0.2020293700553316,,TN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,3.4110825174029844,0.6008982186777801,0.8365384615384616,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,362,0.6667140603666883,0.775351019030327,,TP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,362,1.2046606851533388,1.4009527402282476,0.9530386740331491,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,401,598.4756426972021,0.6128981421955196,,TSS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,401,1156.5182127512414,1.1843888262786813,0.5810473815461347,TSS
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,12017.419536046575,0.4488834421469162,,Volume
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,25479.24836050578,0.9517195162467098,0.8828828828828829,Volume
