Method,Scenario,Year,Analyte,Treatment,Median_95_interval_kg
Bayes,model_only,2013,Se,CT,"0.003056 (0.001264, 0.004651)"
Bayes,model_only,2013,Se,MT,"0.003042 (0.001245, 0.004617)"
Bayes,model_only,2013,Se,ST,"0.003058 (0.00126, 0.004655)"
Bayes,model_only,2013,TDS,CT,"450.7 (277.7, 623.7)"
Bayes,model_only,2013,TDS,MT,"456 (277.7, 635.3)"
Bayes,model_only,2013,TDS,ST,"455.4 (277.5, 631.4)"
Bayes,model_only,2013,TKN,CT,"2.123 (1.307, 3.024)"
Bayes,model_only,2013,TKN,MT,"2.074 (1.247, 3.002)"
Bayes,model_only,2013,TKN,ST,"2.08 (1.275, 2.982)"
Bayes,model_only,2013,TN,CT,"1.579 (-1.713, 4.439)"
Bayes,model_only,2013,TN,MT,"1.593 (-1.716, 4.524)"
Bayes,model_only,2013,TN,ST,"1.597 (-1.723, 4.486)"
Bayes,model_only,2013,TP,CT,"-0.18 (-0.8358, 0.4066)"
Bayes,model_only,2013,TP,MT,"-0.1957 (-0.9079, 0.3884)"
Bayes,model_only,2013,TP,ST,"-0.2239 (-0.9081, 0.3743)"
Bayes,model_only,2013,TSS,CT,"-49.92 (-670.5, 440.6)"
Bayes,model_only,2013,TSS,MT,"-174 (-848.2, 350)"
Bayes,model_only,2013,TSS,ST,"-114 (-750.8, 390.7)"
Bayes,model_only,2014,NH4,CT,"0.03504 (0.01036, 0.06205)"
Bayes,model_only,2014,NH4,MT,"0.0257 (0.003676, 0.05042)"
Bayes,model_only,2014,NH4,ST,"0.03663 (0.00948, 0.06754)"
Bayes,model_only,2014,NO2,CT,"0.1095 (-0.3014, 0.5652)"
Bayes,model_only,2014,NO2,MT,"0.08736 (-0.2577, 0.4606)"
Bayes,model_only,2014,NO2,ST,"0.1113 (-0.3181, 0.5808)"
Bayes,model_only,2014,NO3,CT,"2.635 (2.081, 3.195)"
Bayes,model_only,2014,NO3,MT,"2.143 (1.647, 2.652)"
Bayes,model_only,2014,NO3,ST,"2.713 (2.078, 3.348)"
Bayes,model_only,2014,OP,CT,"0.04307 (0.01862, 0.06717)"
Bayes,model_only,2014,OP,MT,"0.04019 (0.01099, 0.06956)"
Bayes,model_only,2014,OP,ST,"0.03836 (0.01199, 0.06409)"
Bayes,model_only,2014,Se,CT,"0.002243 (0.001597, 0.002897)"
Bayes,model_only,2014,Se,MT,"0.001764 (0.001213, 0.002353)"
Bayes,model_only,2014,Se,ST,"0.002255 (0.001566, 0.002977)"
Bayes,model_only,2014,TDS,CT,"280.2 (184.5, 387.1)"
Bayes,model_only,2014,TDS,MT,"234 (150.5, 328.1)"
Bayes,model_only,2014,TDS,ST,"289.7 (186.5, 410.9)"
Bayes,model_only,2014,TKN,CT,"1.281 (0.766, 1.883)"
Bayes,model_only,2014,TKN,MT,"0.8638 (0.4026, 1.36)"
Bayes,model_only,2014,TKN,ST,"1.17 (0.6316, 1.802)"
Bayes,model_only,2014,TN,CT,"2.224 (1.542, 3.011)"
Bayes,model_only,2014,TN,MT,"2.271 (1.431, 3.257)"
Bayes,model_only,2014,TN,ST,"2.289 (1.496, 3.189)"
Bayes,model_only,2014,TP,CT,"0.2104 (-0.04168, 0.4742)"
Bayes,model_only,2014,TP,MT,"0.1316 (-0.1788, 0.4387)"
Bayes,model_only,2014,TP,ST,"0.1148 (-0.1701, 0.3914)"
Bayes,model_only,2014,TSS,CT,"227.1 (3.609, 449.5)"
Bayes,model_only,2014,TSS,MT,"47.94 (-240.6, 312)"
Bayes,model_only,2014,TSS,ST,"83.17 (-180.6, 327.1)"
Bayes,model_only,2015,NH4,CT,"0.03113 (0.0184, 0.04701)"
Bayes,model_only,2015,NH4,MT,"0.03053 (0.01969, 0.04113)"
Bayes,model_only,2015,NH4,ST,"0.03071 (0.02036, 0.04172)"
Bayes,model_only,2015,NO2,CT,"0.1318 (-0.3388, 0.6398)"
Bayes,model_only,2015,NO2,MT,"0.1176 (-0.3186, 0.6003)"
Bayes,model_only,2015,NO2,ST,"0.1159 (-0.3016, 0.5799)"
Bayes,model_only,2015,NO3,CT,"2.758 (2.174, 3.4)"
Bayes,model_only,2015,NO3,MT,"2.756 (2.351, 3.163)"
Bayes,model_only,2015,NO3,ST,"2.618 (2.222, 2.992)"
