Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.06631491640327786,0.6439103783385179,0.8902439024390244,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.06842002293619419,0.6294941869266497,,NH4
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,824,0.6300555753048317,0.09860768139323701,0.9660194174757282,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,357,1.0087011720397765,0.1436100027609646,,NO3
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,433,0.2409936905919619,0.7999560583105485,0.9653579676674365,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1581573217549923,0.5691731041942226,,NO2
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,804,0.16180231885149657,1.106566500426189,0.6144278606965174,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,336,0.09512645453038882,0.7876220083834957,,OP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0014796527922432733,0.22589637737687376,0.7255813953488373,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,102,0.030847993143190564,4.660162769895049,,Se
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,361,98.87651788971395,0.1050967304751195,0.9224376731301939,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,147.48232691423203,0.16665155034721155,,TDS
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,732,1.8919711756854811,1.039238815068055,0.773224043715847,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,314,1.4073343063653267,0.554898997130985,,TKN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.3073852485684134,0.3603983137959325,0.8488372093023255,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1468478866754916,0.2020293700553316,,TN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,808,2.190097793181353,1.8905245277858254,0.7772277227722773,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,362,0.6667140603666883,0.775351019030327,,TP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,885,1960.781495393487,1.5063864046666562,0.7559322033898305,TSS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,401,598.4756426972021,0.6128981421955196,,TSS
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,370,18889.10584185018,0.651539067966479,0.45675675675675675,Volume
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,12017.419536046575,0.4488834421469162,,Volume
