Method,Target,Year,n,Coverage
Bayes,Result_mg_L,2011,108,79.6%
Bayes,Result_mg_L,2012,163,89.0%
Bayes,Result_mg_L,2013,72,93.1%
Bayes,Result_mg_L,2014,224,87.1%
Bayes,Result_mg_L,2015,372,94.9%
Bayes,Result_mg_L,2016,168,95.2%
Bayes,Result_mg_L,2017,324,85.5%
Bayes,Result_mg_L,2018,0,NA
Bayes,Result_mg_L,2019,0,NA
Bayes,Result_mg_L,2020,246,92.3%
Bayes,Result_mg_L,2021,539,74.2%
Bayes,Result_mg_L,2022,574,82.4%
Bayes,Result_mg_L,2023,879,81.0%
Bayes,Result_mg_L,2024,646,78.0%
Bayes,Result_mg_L,2025,1001,67.9%
Bayes,Volume_L,2011,27,74.1%
Bayes,Volume_L,2012,49,55.1%
Bayes,Volume_L,2013,32,65.6%
Bayes,Volume_L,2014,23,34.8%
Bayes,Volume_L,2015,36,33.3%
Bayes,Volume_L,2016,12,58.3%
Bayes,Volume_L,2017,36,41.7%
Bayes,Volume_L,2018,0,NA
Bayes,Volume_L,2019,0,NA
Bayes,Volume_L,2020,9,55.6%
Bayes,Volume_L,2021,18,33.3%
Bayes,Volume_L,2022,0,NA
Bayes,Volume_L,2023,30,46.7%
Bayes,Volume_L,2024,27,48.1%
Bayes,Volume_L,2025,71,29.6%
