feature,importance_mean,importance_sd
DaysUntilHarvest,20.109979650322845,7.022108479071711
DaysSincePlant,12.744051609943858,6.186062663461839
MeasureMethod,9.099174318851176,2.89563504651876
DayOfYear,8.873190829611882,5.583154423994025
CumAll_STIR_toDate,7.325013571111679,3.2534195487732287
FlumeMethod,7.0111124574476635,1.892684310958554
Inflow_Volume,5.438749992860441,1.6677527757605681
Treatment,4.042872729878302,1.5136446730774908
Irrigation,3.984949876193611,2.529728590875412
previous_crop,3.8270752459019897,1.331999801721041
Season_STIR_toDate,3.0678172075818857,0.8628417397722685
Crop,2.7736763294873037,1.0705510710193156
IrrMethod,2.556006145572646,2.3849098681757632
residue_prop,2.442162789459585,1.7141539595996738
SeasonYear,2.028217818827848,1.0115154932978163
Residue_DryMass_kg_m2,1.7704459251434346,0.5413937642864568
Rep,1.4951469161665505,1.1102951873546072
Year,1.4103565856372864,0.6930652650714064
