Target,Year,n,coverage
Result_mg_L,2011,126,0.9126984126984127
Result_mg_L,2012,191,0.8167539267015707
Result_mg_L,2013,90,0.8555555555555555
Result_mg_L,2014,238,0.8487394957983193
Result_mg_L,2015,397,0.929471032745592
Result_mg_L,2016,216,0.9351851851851852
Result_mg_L,2017,324,0.6203703703703703
Result_mg_L,2020,246,0.9227642276422764
Result_mg_L,2021,539,0.862708719851577
Result_mg_L,2022,577,0.8076256499133448
Result_mg_L,2023,928,0.8318965517241379
Result_mg_L,2024,646,0.8452012383900929
Result_mg_L,2025,1003,0.8654037886340977
Volume_L,2011,27,0.48148148148148145
Volume_L,2012,49,0.7551020408163265
Volume_L,2013,32,1.0
Volume_L,2014,23,0.8695652173913043
Volume_L,2015,36,1.0
Volume_L,2016,12,0.25
Volume_L,2017,36,0.9722222222222222
Volume_L,2020,9,1.0
Volume_L,2021,18,0.7777777777777778
Volume_L,2023,30,1.0
Volume_L,2024,27,0.8518518518518519
Volume_L,2025,73,0.9863013698630136
