Method,Scenario,Analyte,ComparisonTreatment,mean,median,lower_95,upper_95,n_draws,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,NH4,MT,10.5350434141799,9.388317239073068,-27.519193037498116,42.81414398536222,1500,0.04851342159438185,0.04737643025507504,-0.08113660977734004,0.19670876717295452,1500,1500,1490,0.7503355704697987,10,0.006666666666666667,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,9.388317239073068,posterior_median,True
Bayes,model_only,NH4,ST,3.187096923171514,4.990542709855463,-32.744587006173994,32.305321035008596,1500,0.024737330725415643,0.02358576102777349,-0.09816420857118585,0.15277868333356498,1500,1500,1490,0.6429530201342282,10,0.006666666666666667,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,4.990542709855463,posterior_median,True
Bayes,model_only,NO2,MT,-42.8620043187684,16.38384836970678,-248.7990192290174,324.33060445076023,1500,0.10152014724661998,0.10262743141909025,-0.9061163629245691,1.1415056637135774,1500,1500,790,0.6734177215189874,710,0.47333333333333333,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,16.38384836970678,posterior_median,True
Bayes,model_only,NO2,ST,-37.93419828617792,14.053112269572766,-229.47023579686797,278.5641725520318,1500,0.062143363476312864,0.07241387462659399,-0.86545514784223,0.9464275041984161,1500,1500,790,0.6531645569620254,710,0.47333333333333333,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,14.053112269572766,posterior_median,True
Bayes,model_only,NO3,MT,4.982994547679688,5.368496390369629,-6.314556034041065,15.199952766341582,1500,2.173657568543271,2.1788165790962317,-2.2601931546758545,7.011211787124969,1500,1500,1500,0.8106666666666666,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,5.368496390369629,posterior_median,True
Bayes,model_only,NO3,ST,5.455625014438614,5.855103603741464,-6.287410946603816,15.985993660663274,1500,2.3708739720767427,2.3805002324028237,-2.272733977403941,7.259899354695513,1500,1500,1500,0.8306666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,5.855103603741464,posterior_median,True
Bayes,model_only,OP,MT,-2.0667930925301627,0.32681207218861286,-45.88226831429792,28.189590024985403,1500,0.001190975814472728,0.0021305948053494395,-0.19855037949233947,0.19528201836628448,1500,1500,1500,0.5113333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,0.32681207218861286,posterior_median,True
Bayes,model_only,OP,ST,2.904814244161725,4.56267650972463,-32.0995449798342,26.981388844488738,1500,0.028282241446549863,0.027293856460175098,-0.13053803351616491,0.18571757514611778,1500,1500,1500,0.628,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,4.56267650972463,posterior_median,True
Bayes,model_only,Se,MT,12.081830210748526,12.451053920392141,0.8787290412530436,21.753211558414012,1500,0.004703571453999756,0.004671792058925071,0.000312590334143285,0.00932777838205482,1500,1500,1500,0.9813333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,12.451053920392141,posterior_median,True
Bayes,model_only,Se,ST,11.477586749208708,11.81443281231012,0.7167993597239868,20.9786883445607,1500,0.004474259574352346,0.00447521027136465,0.0002639016808957921,0.008895510036491139,1500,1500,1500,0.9793333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,11.81443281231012,posterior_median,True
