Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
ML,full_record_model_only,2022,CT,274.17394441785746,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2023,CT,448.76589266962907,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2024,CT,268.5087426089875,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2025,CT,649.7709569536382,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2011,MT,212.32393671384742,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2012,MT,229.6420969981874,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2013,MT,291.88634366663905,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2014,MT,129.72158901036875,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2015,MT,104.8035934769563,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2016,MT,33.544303731133375,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2017,MT,148.95383615677937,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2018,MT,146.78957409008922,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2019,MT,30.203995470102893,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2020,MT,203.41042507383412,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2021,MT,115.35304736556512,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2022,MT,254.38246452934902,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2023,MT,507.0817066220035,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2024,MT,395.83627755582035,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2025,MT,676.8877625067965,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2011,ST,253.3978335935974,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2012,ST,190.29640971425496,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2013,ST,221.5282090411921,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2014,ST,145.0635007956322,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2015,ST,126.52364834120145,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2016,ST,84.24336391679972,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2017,ST,134.8334355698125,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2018,ST,142.32182877413143,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2019,ST,31.37854638004244,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
ML,full_record_model_only,2020,ST,258.4854012704278,,,sum_of_physical_event_point_volumes,not shown in primary comparison figure
