Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,ComparisonSeries
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,MT,291,2610.5683297553082,2.0929392961754987,0.7663230240549829,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,ST,299,1718.2668408315599,1.398246886586265,0.7525083612040134,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,370,18889.10584185018,0.651539067966479,0.45675675675675675,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,treatment,all,CT,125,18748.0917451769,0.6053120599176174,0.544,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,treatment,all,MT,107,19891.873056095134,0.693010190530205,0.4205607476635514,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,treatment,all,ST,138,18205.856388208438,0.663955210107079,0.4057971014492754,Bayes posterior-predictive fit
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.06842002293619419,0.6294941869266497,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1581573217549923,0.5691731041942226,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,357,1.0087011720397765,0.1436100027609646,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,336,0.09512645453038882,0.7876220083834957,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,102,0.030847993143190564,4.660162769895049,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,147.48232691423203,0.16665155034721155,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,314,1.4073343063653267,0.554898997130985,,ML full-record reconstruction
