Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,n_annual_draws,n_negative_annual_draws,percent_negative_annual_draws,lower_95_display
BayesSensitivity,annual_draw_truncation_at_zero,NH4,CT,0.5070846593690379,0.4971103843596013,0.2174551262563871,0.8364944644412486,1500,22500,1426,6.337777777777778,0.2174551262563871
BayesSensitivity,annual_draw_truncation_at_zero,NH4,MT,0.4590925820335537,0.4508293003825795,0.20645932139551293,0.7834965353824156,1500,22500,1508,6.702222222222222,0.20645932139551293
BayesSensitivity,annual_draw_truncation_at_zero,NH4,ST,0.48177958281557026,0.4776125335507504,0.22859858063763036,0.8024182331389902,1500,22500,1424,6.328888888888889,0.22859858063763036
BayesSensitivity,annual_draw_truncation_at_zero,NO2,CT,1.8298921985164998,1.627388695752991,0.42846163879068144,4.530391486172416,1500,22500,10599,47.10666666666667,0.42846163879068144
BayesSensitivity,annual_draw_truncation_at_zero,NO2,MT,1.6708879561132568,1.4506431600860588,0.37179876946581597,4.3086083265226724,1500,22500,10635,47.266666666666666,0.37179876946581597
BayesSensitivity,annual_draw_truncation_at_zero,NO2,ST,1.6904163228891966,1.4859596594567357,0.38921870616476634,4.323411091510868,1500,22500,10621,47.20444444444445,0.38921870616476634
BayesSensitivity,annual_draw_truncation_at_zero,NO3,CT,40.92362360716428,40.90854997434528,34.24768099262008,47.91806899168182,1500,22500,0,0.0,34.24768099262008
BayesSensitivity,annual_draw_truncation_at_zero,NO3,MT,38.749966038621004,38.71775070641471,34.43400523157125,43.32849313166758,1500,22500,0,0.0,34.43400523157125
BayesSensitivity,annual_draw_truncation_at_zero,NO3,ST,38.55274963508754,38.5113705120488,34.38771301613252,43.19309163958706,1500,22500,0,0.0,34.38771301613252
BayesSensitivity,annual_draw_truncation_at_zero,OP,CT,0.7197485484275632,0.7108575149357157,0.5059812663692894,1.0040536978436396,1500,22500,4414,19.61777777777778,0.5059812663692894
BayesSensitivity,annual_draw_truncation_at_zero,OP,MT,0.7050999645212164,0.6943990049092441,0.5068274332890632,0.9544644902368177,1500,22500,3945,17.533333333333335,0.5068274332890632
BayesSensitivity,annual_draw_truncation_at_zero,OP,ST,0.6774277179800693,0.6692745297835824,0.48945188369647874,0.9021949042698517,1500,22500,4021,17.871111111111112,0.48945188369647874
BayesSensitivity,annual_draw_truncation_at_zero,Se,CT,0.03816538007539651,0.03818510920877419,0.029437508200444072,0.04624390419403988,1500,22500,46,0.20444444444444446,0.029437508200444072
BayesSensitivity,annual_draw_truncation_at_zero,Se,MT,0.03346226499398077,0.03350800155823905,0.026400386013430404,0.040080651466953846,1500,22500,49,0.21777777777777776,0.026400386013430404
BayesSensitivity,annual_draw_truncation_at_zero,Se,ST,0.0336917696937548,0.03371296488386688,0.02666045846594699,0.040239674106867525,1500,22500,49,0.21777777777777776,0.02666045846594699
BayesSensitivity,annual_draw_truncation_at_zero,TDS,CT,5199.147017425772,5205.220463432082,4047.5548531710424,6352.112091653161,1500,22500,2,0.008888888888888889,4047.5548531710424
BayesSensitivity,annual_draw_truncation_at_zero,TDS,MT,5005.143337449753,5019.803989582937,4005.991026756951,5995.32632267442,1500,22500,1,0.0044444444444444444,4005.991026756951
BayesSensitivity,annual_draw_truncation_at_zero,TDS,ST,5011.98188216337,5004.419129890518,4009.1675622633734,6013.223113496781,1500,22500,2,0.008888888888888889,4009.1675622633734
BayesSensitivity,annual_draw_truncation_at_zero,TKN,CT,13.60931698657278,13.493356518462736,9.26728198229266,18.586594911880336,1500,22500,2281,10.137777777777778,9.26728198229266
BayesSensitivity,annual_draw_truncation_at_zero,TKN,MT,9.631922842829885,9.568050793911418,5.902214161395921,14.380727542650549,1500,22500,3274,14.551111111111112,5.902214161395921
BayesSensitivity,annual_draw_truncation_at_zero,TKN,ST,9.683070535860997,9.532094745459535,6.2485412175743,14.281263569299988,1500,22500,3322,14.764444444444445,6.2485412175743
BayesSensitivity,annual_draw_truncation_at_zero,TN,CT,33.098465169008584,32.61409902647172,18.38675450450301,49.286664921246214,1500,22500,713,3.168888888888889,18.38675450450301
BayesSensitivity,annual_draw_truncation_at_zero,TN,MT,29.15102712393933,28.69587861996446,16.394649201932324,43.822695196000474,1500,22500,891,3.96,16.394649201932324
BayesSensitivity,annual_draw_truncation_at_zero,TN,ST,29.086121067168467,28.553838206321203,16.463447796290804,43.78901453289053,1500,22500,879,3.9066666666666667,16.463447796290804
BayesSensitivity,annual_draw_truncation_at_zero,TP,CT,4.374130215459063,4.272599451418278,2.700566812033844,6.685122163442378,1500,22500,6707,29.808888888888887,2.700566812033844
BayesSensitivity,annual_draw_truncation_at_zero,TP,MT,3.2041503947479737,3.088825826419212,2.0308461179735953,5.081696688483009,1500,22500,7351,32.67111111111111,2.0308461179735953
BayesSensitivity,annual_draw_truncation_at_zero,TP,ST,3.0797335080079415,2.9943770494360757,2.00279753636385,4.798413513782727,1500,22500,7767,34.52,2.00279753636385
BayesSensitivity,annual_draw_truncation_at_zero,TSS,CT,6822.134898053044,6721.798883416085,4868.788532646806,9455.069488188388,1500,22500,1924,8.551111111111112,4868.788532646806
BayesSensitivity,annual_draw_truncation_at_zero,TSS,MT,4211.4289454857835,4157.288538404873,3011.705240984045,5849.826002932766,1500,22500,4542,20.186666666666667,3011.705240984045
BayesSensitivity,annual_draw_truncation_at_zero,TSS,ST,4556.711852208965,4482.703094797242,3368.5284025968404,6075.435451061275,1500,22500,3869,17.195555555555554,3368.5284025968404
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,CT,0.48804732600957246,0.4875479936100604,0.1053341786502276,0.8342445042617611,1500,22500,1426,6.337777777777778,0.1053341786502276
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,MT,0.4395339044151907,0.4423321413513995,0.08494928851558795,0.7809687968591498,1500,22500,1508,6.702222222222222,0.08494928851558795
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,ST,0.46330999528415684,0.47195679239337457,0.12040158152751651,0.7984300070672626,1500,22500,1424,6.328888888888889,0.12040158152751651
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,CT,0.16975418899864733,0.12812425093594498,-2.7460633767305276,3.491971075608608,1500,22500,10599,47.10666666666667,0.0
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,MT,0.06823404175202735,0.020315641334877454,-2.679860557192459,3.2014586590446292,1500,22500,10635,47.266666666666666,0.0
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,ST,0.10761082552233446,0.05644928397805826,-2.5959651985150427,3.2806773028511174,1500,22500,10621,47.20444444444445,0.0
BayesSensitivity,raw_annual_draws_display_floor_only,NO3,CT,40.92362360716428,40.90854997434528,34.24768099262008,47.91806899168182,1500,22500,0,0.0,34.24768099262008
BayesSensitivity,raw_annual_draws_display_floor_only,NO3,MT,38.749966038621004,38.71775070641471,34.43400523157125,43.32849313166758,1500,22500,0,0.0,34.43400523157125
BayesSensitivity,raw_annual_draws_display_floor_only,NO3,ST,38.55274963508754,38.5113705120488,34.38771301613252,43.19309163958706,1500,22500,0,0.0,34.38771301613252
BayesSensitivity,raw_annual_draws_display_floor_only,OP,CT,0.5991061980417458,0.5904948498008109,0.2924305660278978,0.93045501738411,1500,22500,4414,19.61777777777778,0.2924305660278978
BayesSensitivity,raw_annual_draws_display_floor_only,OP,MT,0.597915222227273,0.5935367250092771,0.3272849218922924,0.8967034935525338,1500,22500,3945,17.533333333333335,0.3272849218922924
BayesSensitivity,raw_annual_draws_display_floor_only,OP,ST,0.5708239565951959,0.5680116389615715,0.3177370795599135,0.8400974665922988,1500,22500,4021,17.871111111111112,0.3177370795599135
BayesSensitivity,raw_annual_draws_display_floor_only,Se,CT,0.03812609360695455,0.038170876081802405,0.029393275791933394,0.04624390419403988,1500,22500,46,0.20444444444444446,0.029393275791933394
BayesSensitivity,raw_annual_draws_display_floor_only,Se,MT,0.03342252215295479,0.03349977927705039,0.0262499722926006,0.040080651466953846,1500,22500,49,0.21777777777777776,0.0262499722926006
BayesSensitivity,raw_annual_draws_display_floor_only,Se,ST,0.033651834032602204,0.03370084723199325,0.02653696113038024,0.040239674106867525,1500,22500,49,0.21777777777777776,0.02653696113038024
BayesSensitivity,raw_annual_draws_display_floor_only,TDS,CT,5199.126856256737,5205.220463432082,4047.5548531710424,6352.112091653161,1500,22500,2,0.008888888888888889,4047.5548531710424
BayesSensitivity,raw_annual_draws_display_floor_only,TDS,MT,5005.142600205403,5019.803989582937,4005.991026756951,5995.32632267442,1500,22500,1,0.0044444444444444444,4005.991026756951
BayesSensitivity,raw_annual_draws_display_floor_only,TDS,ST,5011.971195330575,5004.419129890518,4009.1675622633734,6013.223113496781,1500,22500,2,0.008888888888888889,4009.1675622633734
BayesSensitivity,raw_annual_draws_display_floor_only,TKN,CT,12.142922710322818,12.022590894305646,7.727690396548095,17.101590191254786,1500,22500,2281,10.137777777777778,7.727690396548095
BayesSensitivity,raw_annual_draws_display_floor_only,TKN,MT,8.361438159818285,8.326955375322715,4.427173045432412,12.891889700108376,1500,22500,3274,14.551111111111112,4.427173045432412
BayesSensitivity,raw_annual_draws_display_floor_only,TKN,ST,8.496093850261488,8.427183843990411,4.749774309174366,12.990678830193932,1500,22500,3322,14.764444444444445,4.749774309174366
BayesSensitivity,raw_annual_draws_display_floor_only,TN,CT,32.649386069108274,32.46315208160331,14.96665119084869,49.286664921246214,1500,22500,713,3.168888888888889,14.96665119084869
BayesSensitivity,raw_annual_draws_display_floor_only,TN,MT,28.64637515672954,28.540499316405956,13.694503500863927,43.822695196000474,1500,22500,891,3.96,13.694503500863927
BayesSensitivity,raw_annual_draws_display_floor_only,TN,ST,28.59052221590043,28.401052551020562,13.539695884604239,43.78901453289053,1500,22500,879,3.9066666666666667,13.539695884604239
BayesSensitivity,raw_annual_draws_display_floor_only,TP,CT,3.4894973506677385,3.439305530997222,1.090920007193903,6.224927015478727,1500,22500,6707,29.808888888888887,1.090920007193903
BayesSensitivity,raw_annual_draws_display_floor_only,TP,MT,2.2754660558442983,2.2794106040875093,-0.052450037092977554,4.761905708933603,1500,22500,7351,32.67111111111111,0.0
BayesSensitivity,raw_annual_draws_display_floor_only,TP,ST,2.0977702429390956,2.0915624549246914,-0.028570748737851898,4.333326856013278,1500,22500,7767,34.52,0.0
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,CT,6603.755361694218,6521.109672577177,4330.48412492867,9439.78365305135,1500,22500,1924,8.551111111111112,4330.48412492867
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,MT,3399.338707588103,3399.258349556205,1114.1642882289686,5623.224361849116,1500,22500,4542,20.186666666666667,1114.1642882289686
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,ST,3894.5411611352915,3862.011015089118,1768.971601241126,6000.384026135379,1500,22500,3869,17.195555555555554,1768.971601241126
