Year,Treatment,Analyte,AnnualLoad_kg,n_physical_events,AnnualLoad_mg,central_estimate_type
2012,ST,NO2,0.0845984446542743,16,84598.4446542743,sum_of_physical_event_point_loads
2012,ST,NO3,1.2566213825583632,17,1256621.3825583633,sum_of_physical_event_point_loads
2012,ST,NOx,0.7663806603199986,16,766380.6603199986,sum_of_physical_event_point_loads
2012,ST,NPOC,0.7685901458026714,16,768590.1458026713,sum_of_physical_event_point_loads
2012,ST,OP,0.04526064935507145,16,45260.64935507145,sum_of_physical_event_point_loads
2012,ST,Se,0.04761424424246545,16,47614.24424246545,sum_of_physical_event_point_loads
2012,ST,TDS,1.6364769598495736,16,1636476.9598495737,sum_of_physical_event_point_loads
2012,ST,TKN,0.6266278915914765,16,626627.8915914765,sum_of_physical_event_point_loads
2012,ST,TN,0.3890060851494459,16,389006.0851494459,sum_of_physical_event_point_loads
2012,ST,TP,0.3122253916842349,16,312225.3916842349,sum_of_physical_event_point_loads
2012,ST,TSP,0.04103620006453677,16,41036.200064536766,sum_of_physical_event_point_loads
2012,ST,TSS,160.7678284303642,20,160767828.4303642,sum_of_physical_event_point_loads
2013,CT,ICP,0.05056562284641696,14,50565.62284641696,sum_of_physical_event_point_loads
2013,CT,NH4,0.0559588306914223,14,55958.8306914223,sum_of_physical_event_point_loads
2013,CT,NO2,0.07975701898497185,14,79757.01898497186,sum_of_physical_event_point_loads
2013,CT,NO3,1.5265035851313715,14,1526503.5851313716,sum_of_physical_event_point_loads
2013,CT,NOx,1.100143820250423,14,1100143.820250423,sum_of_physical_event_point_loads
2013,CT,NPOC,1.1764708319582504,14,1176470.8319582504,sum_of_physical_event_point_loads
2013,CT,OP,0.07480506080228799,14,74805.06080228799,sum_of_physical_event_point_loads
2013,CT,Se,0.04555281164509411,14,45552.81164509411,sum_of_physical_event_point_loads
2013,CT,TDS,2.1183408885639277,14,2118340.8885639277,sum_of_physical_event_point_loads
2013,CT,TKN,1.0590267992679916,14,1059026.7992679917,sum_of_physical_event_point_loads
2013,CT,TN,0.6659626066303969,14,665962.6066303969,sum_of_physical_event_point_loads
2013,CT,TP,0.1924143989492025,14,192414.3989492025,sum_of_physical_event_point_loads
2013,CT,TSP,0.05550863811759741,14,55508.63811759741,sum_of_physical_event_point_loads
2013,CT,TSS,257.91903996976134,14,257919039.96976134,sum_of_physical_event_point_loads
2013,MT,ICP,0.07503540216606046,14,75035.40216606046,sum_of_physical_event_point_loads
2013,MT,NH4,0.08105887958993101,14,81058.879589931,sum_of_physical_event_point_loads
2013,MT,NO2,0.09572935442635504,14,95729.35442635504,sum_of_physical_event_point_loads
2013,MT,NO3,2.0866858312033663,14,2086685.8312033662,sum_of_physical_event_point_loads
2013,MT,NOx,1.5018038751750926,14,1501803.8751750926,sum_of_physical_event_point_loads
2013,MT,NPOC,1.592845504678654,14,1592845.504678654,sum_of_physical_event_point_loads
2013,MT,OP,0.090151233959124,14,90151.233959124,sum_of_physical_event_point_loads
