Target,Year,n,coverage
Result_mg_L,2011,126,0.9761904761904762
Result_mg_L,2012,191,0.8691099476439791
Result_mg_L,2013,90,0.8666666666666667
Result_mg_L,2014,238,0.865546218487395
Result_mg_L,2015,397,0.9168765743073047
Result_mg_L,2016,216,0.8842592592592593
Result_mg_L,2017,324,0.8395061728395061
Result_mg_L,2020,246,0.9471544715447154
Result_mg_L,2021,539,0.8701298701298701
Result_mg_L,2022,577,0.8145580589254766
Result_mg_L,2023,928,0.7640086206896551
Result_mg_L,2024,646,0.8297213622291022
Result_mg_L,2025,1003,0.6630109670987039
Volume_L,2011,27,1.0
Volume_L,2012,49,0.7959183673469388
Volume_L,2013,32,1.0
Volume_L,2014,23,0.8260869565217391
Volume_L,2015,36,1.0
Volume_L,2016,12,0.8333333333333334
Volume_L,2017,36,0.9722222222222222
Volume_L,2020,9,1.0
Volume_L,2021,18,0.8333333333333334
Volume_L,2023,30,0.9666666666666667
Volume_L,2024,27,0.1111111111111111
Volume_L,2025,73,0.9863013698630136
