Year,Treatment,Analyte,AnnualLoad_kg,n_physical_events,AnnualLoad_mg,central_estimate_type
2012,MT,OP,0.06810383850996293,18,68103.83850996294,sum_of_physical_event_point_loads
2012,MT,Se,0.04480328973041207,18,44803.28973041207,sum_of_physical_event_point_loads
2012,MT,TDS,1.701915874814001,18,1701915.8748140011,sum_of_physical_event_point_loads
2012,MT,TKN,0.657783051637575,18,657783.051637575,sum_of_physical_event_point_loads
2012,MT,TN,0.3867537984808569,18,386753.7984808569,sum_of_physical_event_point_loads
2012,MT,TP,0.3181371547523655,18,318137.1547523655,sum_of_physical_event_point_loads
2012,MT,TSP,0.03903154034361084,18,39031.54034361084,sum_of_physical_event_point_loads
2012,MT,TSS,176.3801100097652,20,176380110.00976518,sum_of_physical_event_point_loads
2012,ST,ICP,0.0349311016767238,16,34931.1016767238,sum_of_physical_event_point_loads
2012,ST,NH4,0.0327523488773339,16,32752.3488773339,sum_of_physical_event_point_loads
2012,ST,NO2,0.06922369647225465,16,69223.69647225465,sum_of_physical_event_point_loads
2012,ST,NO3,1.0924525660079563,17,1092452.5660079562,sum_of_physical_event_point_loads
2012,ST,NOx,0.6539088907360968,16,653908.8907360968,sum_of_physical_event_point_loads
2012,ST,NPOC,0.6551215239768355,16,655121.5239768355,sum_of_physical_event_point_loads
2012,ST,OP,0.054829481054054774,16,54829.48105405478,sum_of_physical_event_point_loads
2012,ST,Se,0.03617553590584058,16,36175.53590584058,sum_of_physical_event_point_loads
2012,ST,TDS,1.3982818197267133,16,1398281.8197267132,sum_of_physical_event_point_loads
2012,ST,TKN,0.5362141049595379,16,536214.104959538,sum_of_physical_event_point_loads
2012,ST,TN,0.32129949005850017,16,321299.49005850015,sum_of_physical_event_point_loads
2012,ST,TP,0.24881287218650255,16,248812.87218650256,sum_of_physical_event_point_loads
2012,ST,TSP,0.032441231479782784,16,32441.231479782782,sum_of_physical_event_point_loads
2012,ST,TSS,142.1925678975908,20,142192567.89759082,sum_of_physical_event_point_loads
2013,CT,ICP,0.04183796731095031,14,41837.96731095031,sum_of_physical_event_point_loads
2013,CT,NH4,0.04512639411942639,14,45126.39411942639,sum_of_physical_event_point_loads
2013,CT,NO2,0.06307729963117244,14,63077.299631172435,sum_of_physical_event_point_loads
2013,CT,NO3,1.4035761334708037,14,1403576.1334708037,sum_of_physical_event_point_loads
2013,CT,NOx,0.9325325943437976,14,932532.5943437977,sum_of_physical_event_point_loads
2013,CT,NPOC,0.955558267956157,14,955558.267956157,sum_of_physical_event_point_loads
2013,CT,OP,0.0555617119400166,14,55561.7119400166,sum_of_physical_event_point_loads
2013,CT,Se,0.03252361582850372,14,32523.615828503724,sum_of_physical_event_point_loads
2013,CT,TDS,1.6936161017474378,14,1693616.1017474378,sum_of_physical_event_point_loads
2013,CT,TKN,0.9622972427471166,14,962297.2427471166,sum_of_physical_event_point_loads
2013,CT,TN,0.5446188701736684,14,544618.8701736684,sum_of_physical_event_point_loads
2013,CT,TP,0.14758954616513537,14,147589.54616513537,sum_of_physical_event_point_loads
2013,CT,TSP,0.044896921330515205,14,44896.92133051521,sum_of_physical_event_point_loads
2013,CT,TSS,129.73147310887973,14,129731473.10887973,sum_of_physical_event_point_loads
2013,MT,ICP,0.059575722804333625,14,59575.72280433362,sum_of_physical_event_point_loads
2013,MT,NH4,0.0652096998468294,14,65209.6998468294,sum_of_physical_event_point_loads
2013,MT,NO2,0.08131110352129428,14,81311.10352129428,sum_of_physical_event_point_loads
2013,MT,NO3,1.9162520653825177,14,1916252.0653825176,sum_of_physical_event_point_loads
2013,MT,NOx,1.327794302710862,14,1327794.3027108621,sum_of_physical_event_point_loads
2013,MT,NPOC,1.4003972735541037,14,1400397.2735541037,sum_of_physical_event_point_loads
2013,MT,OP,0.0753583454331571,14,75358.3454331571,sum_of_physical_event_point_loads
