Target,Year,n,rmse_original_units,nrmse_mean_abs,interval_coverage
Result_mg_L,2011,126.0,298.4793789072896,1.0204937126210583,0.9761904761904762
Result_mg_L,2012,191.0,244.13122980588048,1.0329242031072121,0.8691099476439791
Result_mg_L,2013,90.0,515.68891761712,2.530056277860738,0.8666666666666667
Result_mg_L,2014,238.0,442.2487798083095,2.3845086225166088,0.865546218487395
Result_mg_L,2015,397.0,370.84001824002127,3.6204071442965,0.9168765743073047
Result_mg_L,2016,216.0,218.68455713497474,3.2527536303058007,0.8842592592592593
Result_mg_L,2017,324.0,897.2572147469261,2.5812671895457484,0.8395061728395061
Result_mg_L,2020,246.0,143.32312907413862,2.725143001914839,0.9471544715447154
Result_mg_L,2021,539.0,353.0967304881663,2.4342705171911714,0.8701298701298701
Result_mg_L,2022,577.0,356.21087248219067,4.8411249532939555,0.8145580589254766
Result_mg_L,2023,928.0,1273.7217486007794,3.152980419890533,0.7640086206896551
Result_mg_L,2024,646.0,1330.6840138815098,3.091298535262556,0.8297213622291022
Result_mg_L,2025,1003.0,1526.6747088449936,3.6287948880915017,0.6630109670987039
Volume_L,2011,27.0,21148.678438835967,0.9240085727213182,1.0
Volume_L,2012,49.0,9969.599186157115,0.8510514838150316,0.7959183673469388
Volume_L,2013,32.0,15159.578825624798,0.6901265605100887,1.0
Volume_L,2014,23.0,21375.252860609544,0.9861633383179728,0.8260869565217391
Volume_L,2015,36.0,9882.176199271411,0.6960252250721028,1.0
Volume_L,2016,12.0,20800.36337034556,0.9902301790470193,0.8333333333333334
Volume_L,2017,36.0,25539.865925629783,0.9758581187171557,0.9722222222222222
Volume_L,2020,9.0,19135.632037038376,0.8414653239366926,1.0
Volume_L,2021,18.0,10773.244177690305,0.8576773090612838,0.8333333333333334
Volume_L,2023,30.0,32515.989527332877,0.7841987879289992,0.9666666666666667
Volume_L,2024,27.0,55781.164417230786,1.0492915094585735,0.1111111111111111
Volume_L,2025,73.0,33906.48249893039,0.7030522453319052,0.9863013698630136
