Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ICP,ALL,ML,9,25924.681369553517,29130.43138588067,1.4815424217940438,1.4152290494653863,0.0,453.3493900880619,,,
NH4,ALL,Bayes,6,29299.5510662788,32375.242036366835,2.206044678266322,81.80099489206877,0.0,23374.908731317308,0.95,,
NH4,ALL,ML,6,1971.3751779423183,2865.681029383603,0.1663969942645699,5.1443801901298585,0.5,0.0,,,
NO2,ALL,Bayes,9,147921.2277369997,259849.5651762635,0.38669047449075733,0.12976192071785922,0.6666666666666666,197536.95613665256,0.95,,
NO2,ALL,ML,9,180169.79186082855,310261.1573428344,0.5190609318422711,0.17361706730163107,0.0,3957.9866224930042,,,
NO3,ALL,Bayes,35,2981252.2115681,3501130.1106267134,1.1930853370740164,0.29454308186299816,0.11428571428571428,751015.7601845362,0.95,,
NO3,ALL,ML,35,1213798.4829512648,1918470.3920435007,0.6053934633952348,0.14740089110522758,0.05714285714285714,534157.2283203157,,,
NPOC,ALL,ML,3,2.9103830456733704e-10,3.377382175051842e-10,2.7868249228847397e-16,,0.6666666666666666,0.0,,,
OP,ALL,Bayes,32,49332.85083021567,81153.80706221273,0.7285017730934015,0.1907781135174104,0.625,86402.81048974245,0.95,,
OP,ALL,ML,32,62311.121221751426,122201.94277256727,1.0637976864015477,0.2814426006288733,0.0625,1392.1304139436138,,,
Se,ALL,Bayes,5,4047.7870221940334,4324.198399662918,5.251171767126312,15.470557436467097,0.0,823.2945807102533,0.95,,
Se,ALL,ML,5,12485.254019254991,20043.08522695421,22.07896558110383,47.46743828988251,0.0,407.4766991544362,,,
TDS,ALL,Bayes,9,388062400.66841877,504382574.766111,0.34636513179769807,0.5962812467970823,0.1111111111111111,143415662.83338845,0.95,,
TDS,ALL,ML,9,359009507.8895523,515176098.4577018,0.34117057750777385,0.5338682715288765,0.0,38878437.58505501,,,
TKN,ALL,Bayes,29,909156.5975041621,1159265.8846625823,0.9745559546344199,0.21984502807953496,0.27586206896551724,845609.6128219798,0.95,,
TKN,ALL,ML,29,741416.3247750769,1066073.4749170651,0.8955736388510532,0.19640688055747527,0.10344827586206896,322127.72178582475,,,
TN,ALL,Bayes,15,1703140.4547224701,2168502.792383,2.365829297823704,1.0388584525126394,0.3333333333333333,2222626.677655148,0.95,,
TN,ALL,ML,15,355407.5402769357,425119.8128376271,0.4329020250211251,0.18077618327319217,0.13333333333333333,362856.47523479426,,,
TP,ALL,Bayes,35,368079.1328226162,596014.6083834282,0.8682642411687879,0.15228408035434962,0.8571428571428571,1126858.1848379122,0.95,,
TP,ALL,ML,35,463215.03303968685,1447576.2585193256,1.8607308847397084,0.32259930132654957,0.02857142857142857,42794.93558613375,,,
TSP,ALL,ML,9,29134.194229665613,48072.24335218677,4.9437087287767865,2.3550399032444904,0.2222222222222222,228.70541988119416,,,
TSS,ALL,Bayes,35,550500706.4310334,857372037.633334,0.857244773741868,0.19748742160819666,0.5428571428571428,947444681.8814085,0.95,,
TSS,ALL,ML,35,357061650.4297945,1004784632.5478736,1.0362875330256043,0.22150086426924687,0.05714285714285714,43797121.84963702,,,
