Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ALL,ALL,"('Bayes',)",210,109201578.83248465,365267066.1024073,1.1204859455811031,2.9178798099251813,6.106306784469072,0.44285714285714284,164664664.699183,0.95,92473625.67239648,0.7648109438232482
ALL,ALL,"('ML',)",231,68476001.14302377,404116386.51661277,1.5846478853587034,1.3332685701061548,2.932384287520552,0.08225108225108226,8302473.704456542,,170133711.14228496,1.481533295789794
