Method,Scenario,Analyte,Draw,CT,MT,ComparisonTreatment,valid_percent_denominator,AbsoluteDifference_CT_minus_T_kg,PercentDifferenceRelativeToCT,TreatmentLowerThanCT,ST
BayesSensitivity,annual_draw_truncation_at_zero,NH4,489,0.30371667509413364,0.3014986384769669,MT,True,0.002218036617166741,0.7302979385242134,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,490,0.2935964062336099,0.25851379928959806,MT,True,0.03508260694401183,11.9492630696907,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,498,0.2846627589424513,0.19647782531969643,MT,True,0.08818493362275487,30.978739175566947,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,501,0.2754931163961107,0.24845544034655076,MT,True,0.027037676049559922,9.814283711787736,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,505,0.2973262302797177,0.2851694918677413,MT,True,0.012156738411976398,4.0886868274419035,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,507,0.2127229445696796,0.23192487838164574,MT,True,-0.019201933811966138,-9.026733740833652,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,510,0.23492198570986655,0.18714899678176872,MT,True,0.04777298892809784,20.335682411223296,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,512,0.4487934802164155,0.422787361303623,MT,True,0.02600611891279253,5.794673955658169,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,513,0.1899297486822984,0.2197666782073123,MT,True,-0.029836929525013905,-15.709455591879447,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,514,0.25802191804969765,0.2651780004144272,MT,True,-0.007156082364729532,-2.773439721253137,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,519,0.3533359538572898,0.3752159289158467,MT,True,-0.021879975058556933,-6.192399844877978,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,521,0.3544471309770766,0.33185649715728516,MT,True,0.022590633819791428,6.373484744401119,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,522,0.357573904639717,0.3285884677677652,MT,True,0.02898543687195182,8.106138757848354,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,526,0.3668810227929319,0.2524425539277785,MT,True,0.11443846886515341,31.19225627806392,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,527,0.31827336054848454,0.24604403264403502,MT,True,0.07222932790444953,22.69411671148845,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,531,0.2815614068594956,0.2428447767296376,MT,True,0.03871663012985799,13.750687838116361,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,534,0.18524621556811272,0.18142600305000017,MT,True,0.0038202125181125424,2.062235121185457,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,536,0.38957195440523085,0.2196824520525173,MT,True,0.16988950235271355,43.609274341138864,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,539,0.23652574708892554,0.25627571077247097,MT,True,-0.019749963683545424,-8.350026974492598,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,541,0.28110394619866025,0.2537238445185323,MT,True,0.027380101680127944,9.740205376120201,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,543,0.37802481315966835,0.2859353598648616,MT,True,0.09208945329480672,24.360690115839144,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,546,0.3070862227661603,0.2322772200496897,MT,True,0.07480900271647062,24.360911421752743,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,547,0.2940151555138702,0.31325593350820014,MT,True,-0.01924077799432994,-6.544144964466722,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,548,0.271836388046195,0.27139775315146947,MT,True,0.0004386348947255092,0.16135988926212816,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,549,0.2823791526789268,0.2953451775209189,MT,True,-0.012966024841992052,-4.591707538953767,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,550,0.2864370952217141,0.3188316073494519,MT,True,-0.03239451212773775,-11.30946817578326,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,551,0.4719831830421035,0.42066566459006716,MT,True,0.05131751845203636,10.87274299081511,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,552,0.2961648150290071,0.3320020463472901,MT,True,-0.03583723131828298,-12.100435129261724,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,553,0.34245358844775575,0.29141769989180866,MT,True,0.051035888555947095,14.903008839030772,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,555,0.24658207608102428,0.19130906483891538,MT,True,0.0552730112421089,22.41566464220488,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,556,0.23144668889910552,0.2393808752270409,MT,True,-0.007934186327935383,-3.428083748216476,0.0,
