Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.08460681661368838,0.7784197804545261,,NH4
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.2734712014788606,2.5160548657419817,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9523112240517688,0.13562921855516177,,NO3
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,2.7499681240420766,0.3916535039128716,0.952247191011236,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.17685156426580528,0.6364495345381953,,NO2
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.3458874837669112,1.244772297943439,1.0,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.0972171263247491,0.8025365890143406,,OP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.2915691729775652,2.4069311487514935,1.0,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.03853921744465425,5.822330693616058,,Se
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.15755714308157498,23.803020688723347,1.0,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,69.4784159125882,0.07850897100528358,,TDS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,560.650835080488,0.633522218048255,0.6391752577319587,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.5789787273075495,0.6224308205777374,,TKN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,313,5.128860322572965,2.021788314179035,0.7987220447284346,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.197550263815136,0.21096112938701064,,TN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,2.73011720334262,0.4809389851756355,0.8846153846153846,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6614135046922164,0.7678389626898615,,TP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,361,1.288482631141928,1.495807327672129,0.9445983379501385,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,560.1131921600706,0.5736139446749975,,TSS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,400,1114.097300131856,1.1409510720785982,0.615,TSS
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,11853.97542314774,0.44277835812479227,,Volume
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,25275.560331477474,0.944111212041294,0.8648648648648649,Volume
