Method,Target,Year,n,Coverage
ML,Result_mg_L,2011,108,91.7%
ML,Result_mg_L,2012,163,90.2%
ML,Result_mg_L,2013,72,83.3%
ML,Result_mg_L,2014,224,69.2%
ML,Result_mg_L,2015,372,90.9%
ML,Result_mg_L,2016,168,95.2%
ML,Result_mg_L,2017,324,84.0%
ML,Result_mg_L,2018,0,NA
ML,Result_mg_L,2019,0,NA
ML,Result_mg_L,2020,246,93.9%
ML,Result_mg_L,2021,539,88.3%
ML,Result_mg_L,2022,574,81.0%
ML,Result_mg_L,2023,928,79.2%
ML,Result_mg_L,2024,646,90.7%
ML,Result_mg_L,2025,1003,86.1%
ML,Volume_L,2011,27,74.1%
ML,Volume_L,2012,49,77.6%
ML,Volume_L,2013,32,100.0%
ML,Volume_L,2014,23,91.3%
ML,Volume_L,2015,36,100.0%
ML,Volume_L,2016,12,58.3%
ML,Volume_L,2017,36,91.7%
ML,Volume_L,2018,0,NA
ML,Volume_L,2019,0,NA
ML,Volume_L,2020,9,100.0%
ML,Volume_L,2021,18,88.9%
ML,Volume_L,2022,0,NA
ML,Volume_L,2023,30,100.0%
ML,Volume_L,2024,27,33.3%
ML,Volume_L,2025,73,98.6%
